prompt_id,mode,baseline_impl,draft_model,target_model,strategy,candidate_length_k,top_k,top_p,temperature,n,prompt_chars_mean,prompt_chars_std,generated_tokens_mean,generated_tokens_std,acceptance_rate_mean,acceptance_rate_std,avg_accepted_prefix_length_mean,avg_accepted_prefix_length_std,total_generation_time_mean,total_generation_time_std,tokens_per_s_mean,tokens_per_s_std,proposed_tokens_mean,proposed_tokens_std,accepted_tokens_mean,accepted_tokens_std,rejection_events_mean,rejection_events_std,verify_rounds_mean,verify_rounds_std,draft_time_mean,draft_time_std,verify_time_mean,verify_time_std,rebuild_time_mean,rebuild_time_std,draft_time_ratio_mean,draft_time_ratio_std,verify_time_ratio_mean,verify_time_ratio_std,rebuild_time_ratio_mean,rebuild_time_ratio_std,target_decode_step_time_mean,target_decode_step_time_std,draft_decode_step_time_mean,draft_decode_step_time_std,draft_target_latency_ratio_mean,draft_target_latency_ratio_std
prompt_1,baseline,hf,,EleutherAI/pythia-1.4b,greedy,,,,1.0,1,45.0,0.0,32.0,0.0,,,,,0.8100898265838623,0.0,39.50179220857959,0.0,,,,,,,,,0.0,0.0,0.8100898265838623,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,
prompt_1,baseline,manual,,EleutherAI/pythia-1.4b,greedy,,,,1.0,1,45.0,0.0,32.0,0.0,,,,,0.8454208374023438,0.0,37.85097147395114,0.0,,,,,,,,,0.0,0.0,0.8454208374023438,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,
prompt_1,speculative,manual,EleutherAI/pythia-14m,EleutherAI/pythia-1.4b,greedy,4,,,1.0,1,45.0,0.0,32.0,0.0,0.3157894736842105,0.0,1.2,0.0,1.3718738555908203,0.0,23.325759777103315,0.0,57.0,0.0,18.0,0.0,13.0,0.0,15.0,0.0,0.4097287654876709,0.0,0.4624912738800049,0.0,0.4726746082305908,0.0,0.29866358617295347,0.0,0.3371237610478591,0.0,0.3445466988850995,0.0,0.031783051788806915,0.0,0.00852162390947342,0.0,0.2681184917703369,0.0
ALL,baseline,hf,,EleutherAI/pythia-1.4b,greedy,,,,1.0,1,45.0,0.0,32.0,0.0,,,,,0.8100898265838623,0.0,39.50179220857959,0.0,,,,,,,,,0.0,0.0,0.8100898265838623,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,
ALL,baseline,manual,,EleutherAI/pythia-1.4b,greedy,,,,1.0,1,45.0,0.0,32.0,0.0,,,,,0.8454208374023438,0.0,37.85097147395114,0.0,,,,,,,,,0.0,0.0,0.8454208374023438,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,
ALL,speculative,manual,EleutherAI/pythia-14m,EleutherAI/pythia-1.4b,greedy,4,,,1.0,1,45.0,0.0,32.0,0.0,0.3157894736842105,0.0,1.2,0.0,1.3718738555908203,0.0,23.325759777103315,0.0,57.0,0.0,18.0,0.0,13.0,0.0,15.0,0.0,0.4097287654876709,0.0,0.4624912738800049,0.0,0.4726746082305908,0.0,0.29866358617295347,0.0,0.3371237610478591,0.0,0.3445466988850995,0.0,0.031783051788806915,0.0,0.00852162390947342,0.0,0.2681184917703369,0.0
