prompt_id,prompt_chars,mode,baseline_impl,draft_model,target_model,strategy,candidate_length_k,top_k,top_p,temperature,generated_tokens,acceptance_rate,avg_accepted_prefix_length,total_generation_time,tokens_per_s,proposed_tokens,accepted_tokens,rejection_events,verify_rounds,draft_time,verify_time,rebuild_time,draft_time_ratio,verify_time_ratio,rebuild_time_ratio,target_decode_step_time,draft_decode_step_time,draft_target_latency_ratio
prompt_1,45,baseline,hf,,EleutherAI/pythia-1.4b,greedy,,,,1.0,32,,,0.8100898265838623,39.50179220857959,,,,,0.0,0.8100898265838623,0.0,0.0,1.0,0.0,,,
prompt_1,45,baseline,manual,,EleutherAI/pythia-1.4b,greedy,,,,1.0,32,,,0.8454208374023438,37.85097147395114,,,,,0.0,0.8454208374023438,0.0,0.0,1.0,0.0,,,
prompt_1,45,speculative,manual,EleutherAI/pythia-14m,EleutherAI/pythia-1.4b,greedy,4,,,1.0,32,0.3157894736842105,1.2,1.3718738555908203,23.325759777103315,57,18,13,15,0.4097287654876709,0.4624912738800049,0.4726746082305908,0.29866358617295347,0.3371237610478591,0.3445466988850995,0.031783051788806915,0.00852162390947342,0.2681184917703369
