prompt_id,prompt_chars,mode,baseline_impl,draft_model,target_model,strategy,candidate_length_k,top_k,top_p,temperature,generated_tokens,acceptance_rate,avg_accepted_prefix_length,total_generation_time,tokens_per_s,proposed_tokens,accepted_tokens,rejection_events,verify_rounds,draft_time,verify_time,rebuild_time,draft_time_ratio,verify_time_ratio,rebuild_time_ratio,target_decode_step_time,draft_decode_step_time,draft_target_latency_ratio
prompt_1,45,baseline,hf,,EleutherAI/pythia-1.4b,greedy,,,,1.0,32,,,0.7949008941650391,40.25659077112082,,,,,0.0,0.7949008941650391,0.0,0.0,1.0,0.0,,,
prompt_1,45,baseline,manual,,EleutherAI/pythia-1.4b,greedy,,,,1.0,32,,,0.8897404670715332,35.96554409323868,,,,,0.0,0.8897404670715332,0.0,0.0,1.0,0.0,,,
prompt_1,45,speculative,manual,EleutherAI/pythia-70m,EleutherAI/pythia-1.4b,greedy,4,,,1.0,32,0.24615384615384617,0.9411764705882353,1.575800895690918,20.307134034194995,65,16,16,17,0.4883863925933838,0.5384323596954346,0.5217230319976807,0.30992899796471324,0.3416880655213463,0.3310843606094846,0.034548044204711914,0.008875153958797455,0.25689309375107827
