prompt_id,prompt_chars,mode,baseline_impl,draft_model,target_model,strategy,candidate_length_k,top_k,top_p,temperature,generated_tokens,acceptance_rate,avg_accepted_prefix_length,total_generation_time,tokens_per_s,proposed_tokens,accepted_tokens,rejection_events,verify_rounds,draft_time,verify_time,rebuild_time,draft_time_ratio,verify_time_ratio,rebuild_time_ratio,target_decode_step_time,draft_decode_step_time,draft_target_latency_ratio
prompt_1,45,baseline,hf,,EleutherAI/pythia-1.4b,greedy,,,,1.0,32,,,0.743474006652832,43.04118195613329,,,,,0.0,0.743474006652832,0.0,0.0,1.0,0.0,,,
prompt_1,45,baseline,manual,,EleutherAI/pythia-1.4b,greedy,,,,1.0,32,,,0.7930152416229248,40.35231395365268,,,,,0.0,0.7930152416229248,0.0,0.0,1.0,0.0,,,
prompt_1,45,speculative,manual,EleutherAI/pythia-14m,EleutherAI/pythia-1.4b,greedy,4,,,1.0,32,0.3157894736842105,1.2,1.2211570739746094,26.204655143868376,57,18,13,15,0.37417173385620117,0.39531469345092773,0.42850375175476074,0.30640753907140783,0.3237214129745501,0.35089978258085275,0.02979784458875656,0.0072435662150382996,0.24309027431371563
