prompt_id,mode,baseline_impl,draft_model,target_model,strategy,candidate_length_k,top_k,top_p,temperature,n,prompt_chars_mean,prompt_chars_std,generated_tokens_mean,generated_tokens_std,acceptance_rate_mean,acceptance_rate_std,avg_accepted_prefix_length_mean,avg_accepted_prefix_length_std,total_generation_time_mean,total_generation_time_std,tokens_per_s_mean,tokens_per_s_std,proposed_tokens_mean,proposed_tokens_std,accepted_tokens_mean,accepted_tokens_std,rejection_events_mean,rejection_events_std,verify_rounds_mean,verify_rounds_std,draft_time_mean,draft_time_std,verify_time_mean,verify_time_std,rebuild_time_mean,rebuild_time_std,draft_time_ratio_mean,draft_time_ratio_std,verify_time_ratio_mean,verify_time_ratio_std,rebuild_time_ratio_mean,rebuild_time_ratio_std,target_decode_step_time_mean,target_decode_step_time_std,draft_decode_step_time_mean,draft_decode_step_time_std,draft_target_latency_ratio_mean,draft_target_latency_ratio_std
prompt_1,baseline,hf,,EleutherAI/pythia-1.4b,greedy,,,,1.0,1,45.0,0.0,32.0,0.0,,,,,0.743474006652832,0.0,43.04118195613329,0.0,,,,,,,,,0.0,0.0,0.743474006652832,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,
prompt_1,baseline,manual,,EleutherAI/pythia-1.4b,greedy,,,,1.0,1,45.0,0.0,32.0,0.0,,,,,0.7930152416229248,0.0,40.35231395365268,0.0,,,,,,,,,0.0,0.0,0.7930152416229248,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,
prompt_1,speculative,manual,EleutherAI/pythia-14m,EleutherAI/pythia-1.4b,greedy,4,,,1.0,1,45.0,0.0,32.0,0.0,0.3157894736842105,0.0,1.2,0.0,1.2211570739746094,0.0,26.204655143868376,0.0,57.0,0.0,18.0,0.0,13.0,0.0,15.0,0.0,0.37417173385620117,0.0,0.39531469345092773,0.0,0.42850375175476074,0.0,0.30640753907140783,0.0,0.3237214129745501,0.0,0.35089978258085275,0.0,0.02979784458875656,0.0,0.0072435662150382996,0.0,0.24309027431371563,0.0
ALL,baseline,hf,,EleutherAI/pythia-1.4b,greedy,,,,1.0,1,45.0,0.0,32.0,0.0,,,,,0.743474006652832,0.0,43.04118195613329,0.0,,,,,,,,,0.0,0.0,0.743474006652832,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,
ALL,baseline,manual,,EleutherAI/pythia-1.4b,greedy,,,,1.0,1,45.0,0.0,32.0,0.0,,,,,0.7930152416229248,0.0,40.35231395365268,0.0,,,,,,,,,0.0,0.0,0.7930152416229248,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,
ALL,speculative,manual,EleutherAI/pythia-14m,EleutherAI/pythia-1.4b,greedy,4,,,1.0,1,45.0,0.0,32.0,0.0,0.3157894736842105,0.0,1.2,0.0,1.2211570739746094,0.0,26.204655143868376,0.0,57.0,0.0,18.0,0.0,13.0,0.0,15.0,0.0,0.37417173385620117,0.0,0.39531469345092773,0.0,0.42850375175476074,0.0,0.30640753907140783,0.0,0.3237214129745501,0.0,0.35089978258085275,0.0,0.02979784458875656,0.0,0.0072435662150382996,0.0,0.24309027431371563,0.0
