prompt_id,mode,baseline_impl,draft_model,target_model,strategy,candidate_length_k,top_k,top_p,temperature,n,prompt_chars_mean,generated_tokens_mean,acceptance_rate_mean,top1_match_rate_mean,avg_accepted_prefix_length_mean,total_generation_time_mean,tokens_per_s_mean,proposed_tokens_mean,accepted_tokens_mean,accepted_tokens_per_draft_second_mean,rejection_events_mean,verify_rounds_mean,draft_time_mean,verify_time_mean,rebuild_time_mean,draft_time_ratio_mean,verify_time_ratio_mean,rebuild_time_ratio_mean,target_decode_step_time_mean,draft_decode_step_time_mean,draft_target_latency_ratio_mean,prompt_chars_std,generated_tokens_std,acceptance_rate_std,top1_match_rate_std,avg_accepted_prefix_length_std,total_generation_time_std,tokens_per_s_std,proposed_tokens_std,accepted_tokens_std,accepted_tokens_per_draft_second_std,rejection_events_std,verify_rounds_std,draft_time_std,verify_time_std,rebuild_time_std,draft_time_ratio_std,verify_time_ratio_std,rebuild_time_ratio_std,target_decode_step_time_std,draft_decode_step_time_std,draft_target_latency_ratio_std
prompt_1,baseline,hf,,EleutherAI/pythia-1.4b,greedy,,,,1.0,1,45.0,16.0,,,,0.4199092388153076,38.10347218160975,,,,,,0.0,0.4199092388153076,0.0,0.0,1.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
prompt_1,baseline,manual,,EleutherAI/pythia-1.4b,greedy,,,,1.0,1,45.0,16.0,,,,0.37494468688964844,42.67296099786854,,,,,,0.0,0.37494468688964844,0.0,0.0,1.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
prompt_1,speculative,manual,EleutherAI/pythia-31m,EleutherAI/pythia-1.4b,greedy,4,,,1.0,1,45.0,16.0,0.23333333333333334,0.23333333333333334,0.7777777777777778,0.7802426815032959,20.506440341321436,30.0,7.0,33.14423889938126,9.0,9.0,0.211198091506958,0.30776000022888184,0.25075745582580566,0.27068256648052375,0.3944413802586648,0.32138392550208933,0.033533141016960144,0.00840727984905243,0.2507155486806398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,baseline,hf,,EleutherAI/pythia-1.4b,greedy,,,,1.0,1,45.0,16.0,,,,0.4199092388153076,38.10347218160975,,,,,,0.0,0.4199092388153076,0.0,0.0,1.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
ALL,baseline,manual,,EleutherAI/pythia-1.4b,greedy,,,,1.0,1,45.0,16.0,,,,0.37494468688964844,42.67296099786854,,,,,,0.0,0.37494468688964844,0.0,0.0,1.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
ALL,speculative,manual,EleutherAI/pythia-31m,EleutherAI/pythia-1.4b,greedy,4,,,1.0,1,45.0,16.0,0.23333333333333334,0.23333333333333334,0.7777777777777778,0.7802426815032959,20.506440341321436,30.0,7.0,33.14423889938126,9.0,9.0,0.211198091506958,0.30776000022888184,0.25075745582580566,0.27068256648052375,0.3944413802586648,0.32138392550208933,0.033533141016960144,0.00840727984905243,0.2507155486806398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
