prompt_id,prompt_chars,mode,baseline_impl,draft_model,target_model,strategy,candidate_length_k,top_k,top_p,temperature,generated_tokens,acceptance_rate,top1_match_rate,avg_accepted_prefix_length,total_generation_time,tokens_per_s,proposed_tokens,accepted_tokens,accepted_tokens_per_draft_second,rejection_events,verify_rounds,draft_time,verify_time,rebuild_time,draft_time_ratio,verify_time_ratio,rebuild_time_ratio,target_decode_step_time,draft_decode_step_time,draft_target_latency_ratio
explain_sd_simple,45,baseline,hf,,EleutherAI/pythia-1.4b,greedy,,,,1.0,128,,,,4.082384824752808,31.354221979244823,,,,,,0.0,4.082384824752808,0.0,0.0,1.0,0.0,,,
explain_sd_simple,45,baseline,hf,,EleutherAI/pythia-1.4b,greedy,,,,1.0,128,,,,4.019054174423218,31.848289285219582,,,,,,0.0,4.019054174423218,0.0,0.0,1.0,0.0,,,
explain_sd_simple,45,baseline,hf,,EleutherAI/pythia-1.4b,greedy,,,,1.0,128,,,,4.175924062728882,30.651898376800126,,,,,,0.0,4.175924062728882,0.0,0.0,1.0,0.0,,,
explain_sd_simple,45,baseline,manual,,EleutherAI/pythia-1.4b,greedy,,,,1.0,128,,,,4.281803846359253,29.893942971917383,,,,,,0.0,4.281803846359253,0.0,0.0,1.0,0.0,,,
explain_sd_simple,45,baseline,manual,,EleutherAI/pythia-1.4b,greedy,,,,1.0,128,,,,4.168292284011841,30.708019322676748,,,,,,0.0,4.168292284011841,0.0,0.0,1.0,0.0,,,
explain_sd_simple,45,baseline,manual,,EleutherAI/pythia-1.4b,greedy,,,,1.0,128,,,,4.451060056686401,28.757194549131697,,,,,,0.0,4.451060056686401,0.0,0.0,1.0,0.0,,,
explain_sd_simple,45,speculative,manual,EleutherAI/pythia-14m,EleutherAI/pythia-1.4b,greedy,1,,,1.0,128,0.6753246753246753,0.6753246753246753,0.6753246753246753,6.702804327011108,19.096484658545496,77,52,61.70579101991299,25,77,0.8427085876464844,2.5950942039489746,3.1695268154144287,0.12572477824699713,0.38716544260306196,0.4728657828547672,0.04357291758060455,0.01123104803264141,0.2577529496817685
explain_sd_simple,45,speculative,manual,EleutherAI/pythia-14m,EleutherAI/pythia-1.4b,greedy,1,,,1.0,128,0.6753246753246753,0.6753246753246753,0.6753246753246753,6.778620719909668,18.88289746379345,77,52,69.0064347930634,25,77,0.7535529136657715,2.5382511615753174,3.4023356437683105,0.11116611251791844,0.3744495032920417,0.5019215242084898,0.04357291758060455,0.01123104803264141,0.2577529496817685
explain_sd_simple,45,speculative,manual,EleutherAI/pythia-14m,EleutherAI/pythia-1.4b,greedy,1,,,1.0,128,0.6753246753246753,0.6753246753246753,0.6753246753246753,6.5354650020599365,19.585446476976806,77,52,72.3793501104919,25,77,0.7184369564056396,2.5417375564575195,3.1852035522460938,0.1099289730997248,0.38891456930094187,0.4873721382093146,0.04357291758060455,0.01123104803264141,0.2577529496817685
explain_sd_simple,45,speculative,manual,EleutherAI/pythia-14m,EleutherAI/pythia-1.4b,greedy,2,,,1.0,128,0.6576576576576577,0.6576576576576577,1.3035714285714286,5.541434288024902,23.098712958955293,111,73,72.97844212298622,28,56,1.0002954006195068,2.159484386444092,2.307563304901123,0.1805120026021342,0.38969773423295123,0.41641986261350994,0.04357291758060455,0.01123104803264141,0.2577529496817685
explain_sd_simple,45,speculative,manual,EleutherAI/pythia-14m,EleutherAI/pythia-1.4b,greedy,2,,,1.0,128,0.6576576576576577,0.6576576576576577,1.3035714285714286,5.575698614120483,22.956764498683516,111,73,71.75818072605122,28,56,1.017305612564087,2.1841983795166016,2.3056275844573975,0.18245347945955248,0.39173537357006866,0.4135136677973204,0.04357291758060455,0.01123104803264141,0.2577529496817685
explain_sd_simple,45,speculative,manual,EleutherAI/pythia-14m,EleutherAI/pythia-1.4b,greedy,2,,,1.0,128,0.6576576576576577,0.6576576576576577,1.3035714285714286,5.366663932800293,23.850943827073287,111,73,72.08316312164932,28,56,1.0127191543579102,2.026576519012451,2.2757961750030518,0.18870552861868498,0.3776231462205601,0.4240616150927034,0.04357291758060455,0.01123104803264141,0.2577529496817685
explain_sd_simple,45,speculative,manual,EleutherAI/pythia-14m,EleutherAI/pythia-1.4b,greedy,4,,,1.0,128,0.4263157894736842,0.4263157894736842,1.6875,5.641180753707886,22.690285170505664,190,81,47.41155951365206,39,48,1.7084441184997559,1.841350793838501,2.0087790489196777,0.30285222067681744,0.3264123016494732,0.3560919489415987,0.04357291758060455,0.01123104803264141,0.2577529496817685
explain_sd_simple,45,speculative,manual,EleutherAI/pythia-14m,EleutherAI/pythia-1.4b,greedy,4,,,1.0,128,0.4263157894736842,0.4263157894736842,1.6875,5.243694543838501,24.410270073874507,190,81,49.40673201807409,39,48,1.6394526958465576,1.6915898323059082,1.82472562789917,0.31265221155434464,0.3225950364125571,0.3479847295917108,0.04357291758060455,0.01123104803264141,0.2577529496817685
explain_sd_simple,45,speculative,manual,EleutherAI/pythia-14m,EleutherAI/pythia-1.4b,greedy,4,,,1.0,128,0.4263157894736842,0.4263157894736842,1.6875,5.314049959182739,24.087090069376284,190,81,50.58313234643169,39,48,1.6013243198394775,1.8295233249664307,1.774702548980713,0.30133783689262666,0.34428041494133743,0.33396421987226643,0.04357291758060455,0.01123104803264141,0.2577529496817685
explain_sd_simple,45,speculative,manual,EleutherAI/pythia-14m,EleutherAI/pythia-1.4b,greedy,6,,,1.0,128,0.32945736434108525,0.32945736434108525,1.9767441860465116,5.664139986038208,22.59831153811751,258,85,37.23719982431925,38,43,2.282663583755493,1.5706803798675537,1.6854276657104492,0.40300267814392526,0.27730253555512296,0.2975610895678665,0.04357291758060455,0.01123104803264141,0.2577529496817685
explain_sd_simple,45,speculative,manual,EleutherAI/pythia-14m,EleutherAI/pythia-1.4b,greedy,6,,,1.0,128,0.32945736434108525,0.32945736434108525,1.9767441860465116,5.576590538024902,22.9530927772464,258,85,36.72045020876683,38,43,2.314786434173584,1.5062932968139648,1.6492352485656738,0.4150899045554503,0.27011007649621316,0.2957425755611948,0.04357291758060455,0.01123104803264141,0.2577529496817685
explain_sd_simple,45,speculative,manual,EleutherAI/pythia-14m,EleutherAI/pythia-1.4b,greedy,6,,,1.0,128,0.32945736434108525,0.32945736434108525,1.9767441860465116,5.653650522232056,22.640239168774396,258,85,37.39082965882935,38,43,2.273284673690796,1.6175997257232666,1.625365972518921,0.40209147430522557,0.2861159739821767,0.2874896433954372,0.04357291758060455,0.01123104803264141,0.2577529496817685
explain_sd_simple,45,speculative,manual,EleutherAI/pythia-14m,EleutherAI/pythia-1.4b,greedy,8,,,1.0,128,0.25072886297376096,0.25072886297376096,2.0,7.106064319610596,18.012783763687388,343,86,25.525556860064086,41,43,3.3691723346710205,1.7469398975372314,1.838660478591919,0.47412634942989756,0.24583789548825274,0.2587452626227672,0.04357291758060455,0.01123104803264141,0.2577529496817685
explain_sd_simple,45,speculative,manual,EleutherAI/pythia-14m,EleutherAI/pythia-1.4b,greedy,8,,,1.0,128,0.25072886297376096,0.25072886297376096,2.0,6.686324596405029,19.143551611122874,343,86,26.313091302983697,41,43,3.2683351039886475,1.637885570526123,1.6499037742614746,0.48880891988790093,0.24496052306625213,0.24675795356219501,0.04357291758060455,0.01123104803264141,0.2577529496817685
explain_sd_simple,45,speculative,manual,EleutherAI/pythia-14m,EleutherAI/pythia-1.4b,greedy,8,,,1.0,128,0.25072886297376096,0.25072886297376096,2.0,7.25004506111145,17.655062681827978,343,86,24.371620340156632,41,43,3.5286943912506104,1.7500314712524414,1.8154346942901611,0.48671344267612765,0.24138215093854287,0.25040322908170315,0.04357291758060455,0.01123104803264141,0.2577529496817685
explain_sd_simple,45,baseline,hf,,EleutherAI/pythia-1.4b,top_k,,50,,1.0,128,,,,4.490837574005127,28.502478188237824,,,,,,0.0,4.490837574005127,0.0,0.0,1.0,0.0,,,
explain_sd_simple,45,baseline,hf,,EleutherAI/pythia-1.4b,top_k,,50,,1.0,128,,,,4.775724649429321,26.802215243983017,,,,,,0.0,4.775724649429321,0.0,0.0,1.0,0.0,,,
explain_sd_simple,45,baseline,hf,,EleutherAI/pythia-1.4b,top_k,,50,,1.0,128,,,,5.069760322570801,25.24774187650218,,,,,,0.0,5.069760322570801,0.0,0.0,1.0,0.0,,,
explain_sd_simple,45,baseline,manual,,EleutherAI/pythia-1.4b,top_k,,50,,1.0,128,,,,5.101618766784668,25.090075493954036,,,,,,0.0,5.101618766784668,0.0,0.0,1.0,0.0,,,
explain_sd_simple,45,baseline,manual,,EleutherAI/pythia-1.4b,top_k,,50,,1.0,128,,,,4.616751432418823,27.725122713166698,,,,,,0.0,4.616751432418823,0.0,0.0,1.0,0.0,,,
explain_sd_simple,45,baseline,manual,,EleutherAI/pythia-1.4b,top_k,,50,,1.0,128,,,,4.594018220901489,27.862318746938364,,,,,,0.0,4.594018220901489,0.0,0.0,1.0,0.0,,,
explain_sd_simple,45,speculative,manual,EleutherAI/pythia-14m,EleutherAI/pythia-1.4b,top_k,1,50,,1.0,128,0.4222222222222222,0.2,0.4222222222222222,9.305158376693726,13.755811004850461,90,38,40.207676674719124,52,90,0.9450931549072266,3.219923973083496,4.113706588745117,0.10156658453813804,0.346036450185342,0.4420888309702026,0.04357291758060455,0.01123104803264141,0.2577529496817685
explain_sd_simple,45,speculative,manual,EleutherAI/pythia-14m,EleutherAI/pythia-1.4b,top_k,1,50,,1.0,128,0.5238095238095238,0.40476190476190477,0.5238095238095238,10.10876178741455,12.662282749541147,84,44,43.101178460968605,40,84,1.0208537578582764,3.6719775199890137,4.487814664840698,0.1009870228744774,0.363247012562967,0.44395295479492314,0.04357291758060455,0.01123104803264141,0.2577529496817685
