prompt_id,mode,baseline_impl,draft_model,target_model,strategy,candidate_length_k,top_k,top_p,temperature,n,prompt_chars_mean,generated_tokens_mean,acceptance_rate_mean,top1_match_rate_mean,avg_accepted_prefix_length_mean,total_generation_time_mean,tokens_per_s_mean,proposed_tokens_mean,accepted_tokens_mean,accepted_tokens_per_draft_second_mean,rejection_events_mean,verify_rounds_mean,draft_time_mean,verify_time_mean,rebuild_time_mean,draft_time_ratio_mean,verify_time_ratio_mean,rebuild_time_ratio_mean,target_decode_step_time_mean,draft_decode_step_time_mean,draft_target_latency_ratio_mean,prompt_chars_std,generated_tokens_std,acceptance_rate_std,top1_match_rate_std,avg_accepted_prefix_length_std,total_generation_time_std,tokens_per_s_std,proposed_tokens_std,accepted_tokens_std,accepted_tokens_per_draft_second_std,rejection_events_std,verify_rounds_std,draft_time_std,verify_time_std,rebuild_time_std,draft_time_ratio_std,verify_time_ratio_std,rebuild_time_ratio_std,target_decode_step_time_std,draft_decode_step_time_std,draft_target_latency_ratio_std
explain_sd_simple,baseline,hf,,EleutherAI/pythia-1.4b,greedy,,,,1.0,3,45.0,128.0,,,,4.092454353968303,31.284803213754845,,,,,,0.0,4.092454353968303,0.0,0.0,1.0,0.0,,,,0.0,0.0,,,,0.06443646497765147,0.4908849323339754,,,,,,0.0,0.06443646497765147,0.0,0.0,0.0,0.0,,,
explain_sd_simple,baseline,manual,,EleutherAI/pythia-1.4b,greedy,,,,1.0,3,45.0,128.0,,,,4.300385395685832,29.786385614575277,,,,,,0.0,4.300385395685832,0.0,0.0,1.0,0.0,,,,0.0,0.0,,,,0.11618479188306029,0.8000440667480295,,,,,,0.0,0.11618479188306029,0.0,0.0,0.0,0.0,,,
explain_sd_simple,speculative,manual,EleutherAI/pythia-14m,EleutherAI/pythia-1.4b,greedy,1,,,1.0,3,45.0,128.0,0.6753246753246753,0.6753246753246753,0.6753246753246753,6.672296682993571,19.188276199771916,77.0,52.0,67.69719197448943,25.0,77.0,0.7715661525726318,2.558360973993937,3.2523553371429443,0.11560662128821346,0.38350983839868186,0.48738648175752386,0.04357291758060455,0.01123104803264141,0.2577529496817685,0.0,0.0,0.0,0.0,0.0,0.10158481854548983,0.2940669359876735,0.0,0.0,4.454720603547846,0.0,0.0,0.052308171221150807,0.0260132834594931,0.10624502906332911,0.0071724218906842035,0.00644629688191968,0.01186196107189244,0.0,0.0,0.0
explain_sd_simple,speculative,manual,EleutherAI/pythia-14m,EleutherAI/pythia-1.4b,greedy,2,,,1.0,3,45.0,128.0,0.6576576576576577,0.6576576576576577,1.3035714285714286,5.494598944981893,23.302140428237365,111.0,73.0,72.27326199022892,28.0,56.0,1.0101067225138347,2.123419761657715,2.2963290214538574,0.1838903368934572,0.38635208467452664,0.41799838183451127,0.04357291758060455,0.01123104803264141,0.2577529496817685,0.0,0.0,0.0,0.0,0.0,0.09153883153112552,0.39236566216883045,0.0,0.0,0.515986210467472,0.0,0.0,0.007185885596307925,0.06921779924236289,0.01454040556376922,0.003495891551521496,0.006228095932513901,0.004448489648921854,0.0,0.0,0.0
explain_sd_simple,speculative,manual,EleutherAI/pythia-14m,EleutherAI/pythia-1.4b,greedy,4,,,1.0,3,45.0,128.0,0.4263157894736842,0.4263157894736842,1.6875,5.399641752243042,23.729215104585485,190.0,81.0,49.13380795938595,39.0,48.0,1.6497403780619304,1.7874879837036133,1.8694024085998535,0.3056140897079296,0.33109591766778923,0.34601363280185865,0.04357291758060455,0.01123104803264141,0.2577529496817685,0.0,0.0,0.0,0.0,0.0,0.17319216309933583,0.7463881406579259,0.0,0.0,1.3090923610819216,0.0,0.0,0.04433238184651646,0.06798192816772618,0.10064777860192041,0.005014958218848466,0.009452199205807138,0.009140496534932404,0.0,0.0,0.0
explain_sd_simple,speculative,manual,EleutherAI/pythia-14m,EleutherAI/pythia-1.4b,greedy,6,,,1.0,3,45.0,128.0,0.32945736434108525,0.32945736434108525,1.9767441860465116,5.631460348765056,22.730547828046102,258.0,85.0,37.11615989730514,38.0,43.0,2.2902448972066245,1.564857800801595,1.6533429622650146,0.4067280190015337,0.2778428620111709,0.2935977695081662,0.04357291758060455,0.01123104803264141,0.2577529496817685,0.0,0.0,0.0,0.0,0.0,0.03903442336135548,0.1582912344678788,0.0,0.0,0.2867520993415936,0.0,0.0,0.017770880038720734,0.04562679840744082,0.02469151988213948,0.005924436435730379,0.006545540624074913,0.004382438571911484,0.0,0.0,0.0
explain_sd_simple,speculative,manual,EleutherAI/pythia-14m,EleutherAI/pythia-1.4b,greedy,8,,,1.0,3,45.0,128.0,0.25072886297376096,0.25072886297376096,2.0,7.014144659042358,18.270466018879414,343.0,86.0,25.40342283440147,41.0,43.0,3.3887339433034263,1.711618979771932,1.7679996490478516,0.4832162373313087,0.2440601898310159,0.25196881508888846,0.04357291758060455,0.01123104803264141,0.2577529496817685,0.0,0.0,0.0,0.0,0.0,0.2391402776355902,0.6344025702128484,0.0,0.0,0.7972933023856736,0.0,0.0,0.10718747443958454,0.05215266810858673,0.08404298898094817,0.006484201453349563,0.0019272371976347365,0.005017448839655457,0.0,0.0,0.0
explain_sd_simple,baseline,hf,,EleutherAI/pythia-1.4b,top_k,,50,,1.0,3,45.0,128.0,,,,4.77877418200175,26.85081176957434,,,,,,0.0,4.77877418200175,0.0,0.0,1.0,0.0,,,,0.0,0.0,,,,0.2363540591829573,1.3291847956441316,,,,,,0.0,0.2363540591829573,0.0,0.0,0.0,0.0,,,
explain_sd_simple,baseline,manual,,EleutherAI/pythia-1.4b,top_k,,50,,1.0,3,45.0,128.0,,,,4.770796140034993,26.892505651353034,,,,,,0.0,4.770796140034993,0.0,0.0,1.0,0.0,,,,0.0,0.0,,,,0.23411095304525842,1.2757407108935312,,,,,,0.0,0.23411095304525842,0.0,0.0,0.0,0.0,,,
explain_sd_simple,speculative,manual,EleutherAI/pythia-14m,EleutherAI/pythia-1.4b,top_k,1,50,,1.0,3,45.0,128.0,0.47243203794927935,0.3012041598248495,0.47243203794927935,9.35575564702352,13.736686149087724,87.0,41.0,42.848523085852015,46.0,87.0,0.9574301242828369,3.3034210999806723,4.16543968518575,0.10243089117181686,0.352697355492993,0.44537776080877955,0.04357291758060455,0.01123104803264141,0.2577529496817685,0.0,0.0,0.041481060345675,0.08361026225925115,0.041481060345675,0.5952468821063887,0.8695441775312954,2.449489742783178,2.449489742783178,2.0608542670680223,4.898979485566356,2.449489742783178,0.04755560033039382,0.2732913009461305,0.24484618962704915,0.0016491869844728994,0.007545093639368462,0.003418890528944486,0.0,0.0,0.0
