prompt_id,mode,baseline_impl,draft_model,target_model,strategy,candidate_length_k,top_k,top_p,temperature,n,prompt_chars_mean,prompt_chars_std,generated_tokens_mean,generated_tokens_std,acceptance_rate_mean,acceptance_rate_std,avg_accepted_prefix_length_mean,avg_accepted_prefix_length_std,total_generation_time_mean,total_generation_time_std,tokens_per_s_mean,tokens_per_s_std,proposed_tokens_mean,proposed_tokens_std,accepted_tokens_mean,accepted_tokens_std,rejected_tokens_mean,rejected_tokens_std,verify_rounds_mean,verify_rounds_std,draft_time_mean,draft_time_std,verify_time_mean,verify_time_std,rebuild_time_mean,rebuild_time_std,draft_time_ratio_mean,draft_time_ratio_std,verify_time_ratio_mean,verify_time_ratio_std,rebuild_time_ratio_mean,rebuild_time_ratio_std,output_exact_match_mean,output_exact_match_std,output_prefix_match_len_mean,output_prefix_match_len_std,output_prefix_match_ratio_mean,output_prefix_match_ratio_std
explain_sd_simple,baseline,hf,,EleutherAI/pythia-1.4b,greedy,,,,1.0,3,45.0,0.0,128.0,0.0,,,,,3.254753907521566,0.009966106709811228,39.32745805279563,0.12018441526341064,,,,,,,,,0.0,0.0,3.254753907521566,0.009966106709811228,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,
explain_sd_simple,baseline,manual,,EleutherAI/pythia-1.4b,greedy,,,,1.0,3,45.0,0.0,128.0,0.0,,,,,3.50256355603536,0.07129623784652733,36.55964198553177,0.7359684181494054,,,,,,,,,0.0,0.0,3.50256355603536,0.07129623784652733,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,
explain_sd_simple,speculative,manual,EleutherAI/pythia-14m,EleutherAI/pythia-1.4b,greedy,1,,,1.0,3,45.0,0.0,128.0,0.0,0.6753246753246753,0.0,0.6753246753246753,0.0,5.369552373886108,0.016009560234211705,23.838326027419008,0.07121434536809435,77.0,0.0,52.0,0.0,25.0,0.0,77.0,0.0,0.5976965427398682,0.006460336702845246,2.1110196113586426,0.028504286811664985,2.601195494333903,0.030770143126626598,0.11131532819101493,0.0014270814096210738,0.39314996590057316,0.005440151047357384,0.48442654411577674,0.004819841905955653,1.0,0.0,128.0,0.0,1.0,0.0
explain_sd_simple,speculative,manual,EleutherAI/pythia-14m,EleutherAI/pythia-1.4b,greedy,2,,,1.0,3,45.0,0.0,128.0,0.0,0.6576576576576577,0.0,1.3035714285714286,0.0,4.495442231496175,0.06407959205811328,28.47903983070772,0.4038622966036393,111.0,0.0,73.0,0.0,28.0,0.0,56.0,0.0,0.8285362720489502,0.00696699895790675,1.7259626388549805,0.04260914564123523,1.879289706548055,0.024465650170676017,0.1843255255876387,0.0016684069936739882,0.38388496175002895,0.004580046715936461,0.41805574050860284,0.002102008341839868,0.0,0.0,64.0,0.0,0.5,0.0
explain_sd_simple,speculative,manual,EleutherAI/pythia-14m,EleutherAI/pythia-1.4b,greedy,4,,,1.0,3,45.0,0.0,128.0,0.0,0.4263157894736842,0.0,1.6875,0.0,4.631145318349202,0.04464925442107882,27.641505359027285,0.2649137091407221,190.0,0.0,81.0,0.0,39.0,0.0,48.0,0.0,1.4427719116210938,0.030592956609413816,1.4974493980407715,0.039028026691294175,1.607007106145223,0.008063181649890321,0.31152445086390623,0.005197643395463758,0.32332277807955273,0.006986054890300879,0.34702715400208517,0.0032875723208877,1.0,0.0,128.0,0.0,1.0,0.0
explain_sd_simple,speculative,manual,EleutherAI/pythia-14m,EleutherAI/pythia-1.4b,greedy,6,,,1.0,3,45.0,0.0,128.0,0.0,0.32945736434108525,0.0,1.9767441860465116,0.0,5.166498422622681,0.29316467265293256,24.85199814126041,1.3569958921160015,258.0,0.0,85.0,0.0,38.0,0.0,43.0,0.0,2.0766815344492593,0.11464893673225272,1.4323443571726482,0.0802081142863395,1.5520260334014893,0.095810636812763,0.40200776610231315,0.004360906979774823,0.27724939456108905,0.0007342202779731533,0.30035016493376004,0.004935089135097636,1.0,0.0,128.0,0.0,1.0,0.0
explain_sd_simple,speculative,manual,EleutherAI/pythia-14m,EleutherAI/pythia-1.4b,greedy,8,,,1.0,3,45.0,0.0,128.0,0.0,0.25072886297376096,0.0,2.0,0.0,5.555771350860596,0.14650987063002954,23.055220606206127,0.611211564529176,343.0,0.0,86.0,0.0,41.0,0.0,43.0,0.0,2.6306368509928384,0.08664031584120829,1.357703447341919,0.03334177820256912,1.461295207341512,0.025483092688159847,0.4734148579122545,0.0031912743293148783,0.24438886074678337,0.0004482778265559519,0.2630859902904739,0.002454541098856408,1.0,0.0,128.0,0.0,1.0,0.0
explain_sd_simple,baseline,hf,,EleutherAI/pythia-1.4b,top_k,,50,,1.0,3,45.0,0.0,128.0,0.0,,,,,3.661282459894816,0.06714564158143052,34.97234326317595,0.6497372303412544,,,,,,,,,0.0,0.0,3.661282459894816,0.06714564158143052,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,
explain_sd_simple,baseline,manual,,EleutherAI/pythia-1.4b,top_k,,50,,1.0,3,45.0,0.0,128.0,0.0,,,,,3.6852455139160156,0.07552362802018113,34.747528202033074,0.7040781317753332,,,,,,,,,0.0,0.0,3.6852455139160156,0.07552362802018113,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,
explain_sd_simple,speculative,manual,EleutherAI/pythia-14m,EleutherAI/pythia-1.4b,top_k,1,50,,1.0,3,45.0,0.0,128.0,0.0,0.5165388611289764,0.03280899490203339,0.5165388611289764,0.03280899490203339,6.614828427632649,0.14133529994475424,19.359233117932078,0.4104451896482301,84.66666666666667,2.0548046676563256,43.666666666666664,1.699673171197595,41.0,3.7416573867739413,84.66666666666667,2.0548046676563256,0.656770388285319,0.008586525667605233,2.356875737508138,0.054638620194539446,2.9833417733510337,0.04396146865476641,0.09933111539079792,0.0024338179558366316,0.3562893190878591,0.0012316754590331075,0.45107164774242264,0.0029781455234008367,0.0,0.0,0.0,0.0,0.0,0.0
