prompt_id,mode,baseline_impl,draft_model,target_model,strategy,candidate_length_k,top_k,top_p,temperature,n,prompt_chars_mean,prompt_chars_std,generated_tokens_mean,generated_tokens_std,acceptance_rate_mean,acceptance_rate_std,avg_accepted_prefix_length_mean,avg_accepted_prefix_length_std,total_generation_time_mean,total_generation_time_std,tokens_per_s_mean,tokens_per_s_std,proposed_tokens_mean,proposed_tokens_std,accepted_tokens_mean,accepted_tokens_std,rejection_events_mean,rejection_events_std,verify_rounds_mean,verify_rounds_std,draft_time_mean,draft_time_std,verify_time_mean,verify_time_std,rebuild_time_mean,rebuild_time_std,draft_time_ratio_mean,draft_time_ratio_std,verify_time_ratio_mean,verify_time_ratio_std,rebuild_time_ratio_mean,rebuild_time_ratio_std,target_decode_step_time_mean,target_decode_step_time_std,draft_decode_step_time_mean,draft_decode_step_time_std,draft_target_latency_ratio_mean,draft_target_latency_ratio_std
prompt_1,baseline,hf,,EleutherAI/pythia-1.4b,greedy,,,,1.0,1,45.0,0.0,32.0,0.0,,,,,0.8048689365386963,0.0,39.75802586892544,0.0,,,,,,,,,0.0,0.0,0.8048689365386963,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,
prompt_1,baseline,manual,,EleutherAI/pythia-1.4b,greedy,,,,1.0,1,45.0,0.0,32.0,0.0,,,,,0.834136962890625,0.0,38.36300442688326,0.0,,,,,,,,,0.0,0.0,0.834136962890625,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,
prompt_1,speculative,manual,EleutherAI/pythia-31m,EleutherAI/pythia-1.4b,greedy,4,,,1.0,1,45.0,0.0,32.0,0.0,0.24615384615384617,0.0,0.9411764705882353,0.0,1.5325300693511963,0.0,20.880503841302996,0.0,65.0,0.0,16.0,0.0,16.0,0.0,17.0,0.0,0.477069616317749,0.0,0.5120022296905518,0.0,0.5216999053955078,0.0,0.31129543612786575,0.0,0.3340895163690395,0.0,0.34041740245682217,0.0,0.03333089500665665,0.0,0.008619002997875214,0.0,0.2585890056703811,0.0
ALL,baseline,hf,,EleutherAI/pythia-1.4b,greedy,,,,1.0,1,45.0,0.0,32.0,0.0,,,,,0.8048689365386963,0.0,39.75802586892544,0.0,,,,,,,,,0.0,0.0,0.8048689365386963,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,
ALL,baseline,manual,,EleutherAI/pythia-1.4b,greedy,,,,1.0,1,45.0,0.0,32.0,0.0,,,,,0.834136962890625,0.0,38.36300442688326,0.0,,,,,,,,,0.0,0.0,0.834136962890625,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,
ALL,speculative,manual,EleutherAI/pythia-31m,EleutherAI/pythia-1.4b,greedy,4,,,1.0,1,45.0,0.0,32.0,0.0,0.24615384615384617,0.0,0.9411764705882353,0.0,1.5325300693511963,0.0,20.880503841302996,0.0,65.0,0.0,16.0,0.0,16.0,0.0,17.0,0.0,0.477069616317749,0.0,0.5120022296905518,0.0,0.5216999053955078,0.0,0.31129543612786575,0.0,0.3340895163690395,0.0,0.34041740245682217,0.0,0.03333089500665665,0.0,0.008619002997875214,0.0,0.2585890056703811,0.0
