prompt_id,prompt_chars,mode,baseline_impl,draft_model,target_model,strategy,candidate_length_k,top_k,top_p,temperature,generated_tokens,acceptance_rate,avg_accepted_prefix_length,total_generation_time,tokens_per_s,proposed_tokens,accepted_tokens,rejection_events,verify_rounds,draft_time,verify_time,rebuild_time,draft_time_ratio,verify_time_ratio,rebuild_time_ratio,target_decode_step_time,draft_decode_step_time,draft_target_latency_ratio
prompt_1,45,baseline,hf,,EleutherAI/pythia-1.4b,greedy,,,,1.0,32,,,0.8350417613983154,38.32143669846469,,,,,0.0,0.8350417613983154,0.0,0.0,1.0,0.0,,,
prompt_1,45,baseline,manual,,EleutherAI/pythia-1.4b,greedy,,,,1.0,32,,,0.8202223777770996,39.01380999470389,,,,,0.0,0.8202223777770996,0.0,0.0,1.0,0.0,,,
prompt_1,45,speculative,manual,EleutherAI/pythia-14m,EleutherAI/pythia-1.4b,greedy,4,,,1.0,32,0.3157894736842105,1.2,1.3009049892425537,24.598260645177373,57,18,13,15,0.40204763412475586,0.4450538158416748,0.4328482151031494,0.30905226549930165,0.34211093010013394,0.33272853796584595,0.03278118371963501,0.008017882704734802,
