prompt_id,mode,baseline_impl,draft_model,target_model,strategy,candidate_length_k,top_k,top_p,temperature,n,prompt_chars_mean,prompt_chars_std,generated_tokens_mean,generated_tokens_std,acceptance_rate_mean,acceptance_rate_std,avg_accepted_prefix_length_mean,avg_accepted_prefix_length_std,total_generation_time_mean,total_generation_time_std,tokens_per_s_mean,tokens_per_s_std,proposed_tokens_mean,proposed_tokens_std,accepted_tokens_mean,accepted_tokens_std,rejected_tokens_mean,rejected_tokens_std,verify_rounds_mean,verify_rounds_std,draft_time_mean,draft_time_std,verify_time_mean,verify_time_std,rebuild_time_mean,rebuild_time_std,draft_time_ratio_mean,draft_time_ratio_std,verify_time_ratio_mean,verify_time_ratio_std,rebuild_time_ratio_mean,rebuild_time_ratio_std,output_exact_match_mean,output_exact_match_std,output_prefix_match_len_mean,output_prefix_match_len_std,output_prefix_match_ratio_mean,output_prefix_match_ratio_std
explain_sd_simple,baseline,hf,,gpt2-medium,greedy,,,,1.0,3,45.0,0.0,128.0,0.0,,,,,3.116749127705892,0.03685786042162294,41.0742227286107,0.4896624671922506,,,,,,,,,0.0,0.0,3.116749127705892,0.03685786042162294,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,
explain_sd_simple,baseline,manual,,gpt2-medium,greedy,,,,1.0,3,45.0,0.0,128.0,0.0,,,,,3.2727559407552085,0.0695248421443158,39.128695362840176,0.84387444361606,,,,,,,,,0.0,0.0,3.2727559407552085,0.0695248421443158,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,
explain_sd_simple,speculative,manual,gpt2,gpt2-medium,greedy,1,,,1.0,3,45.0,0.0,128.0,0.0,0.8823529411764706,0.0,0.8823529411764706,0.0,5.056047360102336,0.14225695565764415,25.33595173453468,0.7013942637897465,68.0,0.0,60.0,0.0,8.0,0.0,68.0,0.0,0.8647516568501791,0.014820174788085332,1.6731068293253581,0.04157235300522037,2.4653468132019043,0.09050845878614068,0.17110105130086897,0.0029911898471582203,0.3309476335822497,0.002156209094265926,0.4874956307791916,0.0051843618419730765,1.0,0.0,128.0,0.0,1.0,0.0
explain_sd_simple,speculative,manual,gpt2,gpt2-medium,greedy,2,,,1.0,3,45.0,0.0,128.0,0.0,0.8617021276595744,0.0,1.7234042553191489,0.0,4.202008803685506,0.021651941435173877,30.46243128343652,0.1572354280508304,94.0,0.0,81.0,0.0,11.0,0.0,47.0,0.0,1.2049554189046223,0.009852623205493396,1.2533375422159831,0.013685982680406451,1.6873011589050293,0.01661642010226812,0.2867637235425991,0.002671495085685447,0.2982642288708766,0.002056449365341321,0.4015431446281598,0.002953694843009836,1.0,0.0,128.0,0.0,1.0,0.0
explain_sd_simple,speculative,manual,gpt2,gpt2-medium,greedy,4,,,1.0,3,45.0,0.0,128.0,0.0,0.782258064516129,0.0,3.129032258064516,0.0,3.7142918904622397,0.05016281820105422,34.46774377506482,0.463731413741755,124.0,0.0,97.0,0.0,11.0,0.0,31.0,0.0,1.6410878499348958,0.03445369200214933,0.8994142214457194,0.02341435885486737,1.1209142208099365,0.013415206301746379,0.44181027693531383,0.005788110142492983,0.2421152248845395,0.0034633815480291674,0.3018319682659164,0.005062780642756978,1.0,0.0,128.0,0.0,1.0,0.0
explain_sd_simple,speculative,manual,gpt2,gpt2-medium,greedy,6,,,1.0,3,45.0,0.0,128.0,0.0,0.6688311688311688,0.0,3.9615384615384617,0.0,3.789555231730143,0.05439325881341088,33.784080917814514,0.48977857086102905,154.0,0.0,103.0,0.0,14.0,0.0,26.0,0.0,2.0208818117777505,0.02180943887379289,0.7541472117106119,0.033346509744026816,0.9559133847554525,0.012595240652399312,0.5333050496998316,0.00210553929634019,0.1989238742066648,0.0060897008440381345,0.2522980425890604,0.004706945371079099,1.0,0.0,128.0,0.0,1.0,0.0
explain_sd_simple,speculative,manual,gpt2,gpt2-medium,greedy,8,,,1.0,3,45.0,0.0,128.0,0.0,0.5526315789473685,0.0,4.375,0.0,4.206965446472168,0.05474702430696045,30.430840019516626,0.3925794753977509,190.0,0.0,105.0,0.0,15.0,0.0,24.0,0.0,2.547308603922526,0.04992651786100113,0.7076375484466553,0.01130475865842123,0.8910315831502279,0.01737876861175358,0.6054683588656153,0.006545542972799726,0.16824696676427905,0.004019150136779823,0.21179303503147526,0.0026528847326520934,1.0,0.0,128.0,0.0,1.0,0.0
explain_sd_simple,baseline,hf,,gpt2-medium,top_k,,50,,1.0,3,45.0,0.0,128.0,0.0,,,,,3.3369080225626626,0.11550659306797008,38.40386748232579,1.3001904806879003,,,,,,,,,0.0,0.0,3.3369080225626626,0.11550659306797008,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,
explain_sd_simple,baseline,manual,,gpt2-medium,top_k,,50,,1.0,3,45.0,0.0,128.0,0.0,,,,,3.1987572511037192,0.027189771222337008,40.01844896747307,0.3421808353705018,,,,,,,,,0.0,0.0,3.1987572511037192,0.027189771222337008,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,
explain_sd_simple,speculative,manual,gpt2,gpt2-medium,top_k,1,50,,1.0,3,45.0,0.0,128.0,0.0,0.7774209503621268,0.07568576929521023,0.7774209503621268,0.07568576929521023,5.808529615402222,0.25552616818802076,22.080389628788364,0.9965322336847946,72.33333333333333,3.0912061651652345,56.0,2.943920288775949,16.333333333333332,6.018490028422596,72.33333333333333,3.0912061651652345,0.93634033203125,0.015765729695179847,1.8056047757466633,0.05693384625519608,2.6588178475697837,0.10576428771847779,0.1614024319548295,0.004619928642500501,0.31104108286687815,0.0048365713365483886,0.4578505921520426,0.0043450938738561545,0.0,0.0,0.0,0.0,0.0,0.0
