prompt_id,mode,baseline_impl,draft_model,target_model,strategy,candidate_length_k,top_k,top_p,temperature,n,prompt_chars_mean,prompt_chars_std,generated_tokens_mean,generated_tokens_std,acceptance_rate_mean,acceptance_rate_std,avg_accepted_prefix_length_mean,avg_accepted_prefix_length_std,total_generation_time_mean,total_generation_time_std,tokens_per_s_mean,tokens_per_s_std,proposed_tokens_mean,proposed_tokens_std,accepted_tokens_mean,accepted_tokens_std,rejection_events_mean,rejection_events_std,verify_rounds_mean,verify_rounds_std,draft_time_mean,draft_time_std,verify_time_mean,verify_time_std,rebuild_time_mean,rebuild_time_std,draft_time_ratio_mean,draft_time_ratio_std,verify_time_ratio_mean,verify_time_ratio_std,rebuild_time_ratio_mean,rebuild_time_ratio_std,target_decode_step_time_mean,target_decode_step_time_std,draft_decode_step_time_mean,draft_decode_step_time_std,draft_target_latency_ratio_mean,draft_target_latency_ratio_std
prompt_1,baseline,hf,,EleutherAI/pythia-1.4b,greedy,,,,1.0,1,45.0,0.0,32.0,0.0,,,,,0.8202588558197021,0.0,39.01207499676638,0.0,,,,,,,,,0.0,0.0,0.8202588558197021,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,
prompt_1,baseline,manual,,EleutherAI/pythia-1.4b,greedy,,,,1.0,1,45.0,0.0,32.0,0.0,,,,,0.8882510662078857,0.0,36.02585036752519,0.0,,,,,,,,,0.0,0.0,0.8882510662078857,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,
prompt_1,speculative,manual,EleutherAI/pythia-160m,EleutherAI/pythia-1.4b,greedy,4,,,1.0,1,45.0,0.0,32.0,0.0,0.40816326530612246,0.0,1.5384615384615385,0.0,1.5958452224731445,0.0,20.05206993094752,0.0,49.0,0.0,20.0,0.0,10.0,0.0,13.0,0.0,0.6825339794158936,0.0,0.42103147506713867,0.0,0.4789612293243408,0.0,0.42769434642173104,0.0,0.2638297681617579,0.0,0.3001301270195086,0.0,0.03282120078802109,0.0,0.016474999487400055,0.0,0.5019621187477399,0.0
ALL,baseline,hf,,EleutherAI/pythia-1.4b,greedy,,,,1.0,1,45.0,0.0,32.0,0.0,,,,,0.8202588558197021,0.0,39.01207499676638,0.0,,,,,,,,,0.0,0.0,0.8202588558197021,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,
ALL,baseline,manual,,EleutherAI/pythia-1.4b,greedy,,,,1.0,1,45.0,0.0,32.0,0.0,,,,,0.8882510662078857,0.0,36.02585036752519,0.0,,,,,,,,,0.0,0.0,0.8882510662078857,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,
ALL,speculative,manual,EleutherAI/pythia-160m,EleutherAI/pythia-1.4b,greedy,4,,,1.0,1,45.0,0.0,32.0,0.0,0.40816326530612246,0.0,1.5384615384615385,0.0,1.5958452224731445,0.0,20.05206993094752,0.0,49.0,0.0,20.0,0.0,10.0,0.0,13.0,0.0,0.6825339794158936,0.0,0.42103147506713867,0.0,0.4789612293243408,0.0,0.42769434642173104,0.0,0.2638297681617579,0.0,0.3001301270195086,0.0,0.03282120078802109,0.0,0.016474999487400055,0.0,0.5019621187477399,0.0
