prompt_id,prompt_chars,mode,baseline_impl,draft_model,target_model,strategy,candidate_length_k,top_k,top_p,temperature,generated_tokens,acceptance_rate,avg_accepted_prefix_length,total_generation_time,tokens_per_s,proposed_tokens,accepted_tokens,rejection_events,verify_rounds,draft_time,verify_time,rebuild_time,draft_time_ratio,verify_time_ratio,rebuild_time_ratio,target_decode_step_time,draft_decode_step_time,draft_target_latency_ratio
prompt_1,45,baseline,hf,,EleutherAI/pythia-1.4b,greedy,,,,1.0,32,,,0.8202588558197021,39.01207499676638,,,,,0.0,0.8202588558197021,0.0,0.0,1.0,0.0,,,
prompt_1,45,baseline,manual,,EleutherAI/pythia-1.4b,greedy,,,,1.0,32,,,0.8882510662078857,36.02585036752519,,,,,0.0,0.8882510662078857,0.0,0.0,1.0,0.0,,,
prompt_1,45,speculative,manual,EleutherAI/pythia-160m,EleutherAI/pythia-1.4b,greedy,4,,,1.0,32,0.40816326530612246,1.5384615384615385,1.5958452224731445,20.05206993094752,49,20,10,13,0.6825339794158936,0.42103147506713867,0.4789612293243408,0.42769434642173104,0.2638297681617579,0.3001301270195086,0.03282120078802109,0.016474999487400055,0.5019621187477399
