prompt_id,mode,baseline_impl,draft_model,target_model,strategy,candidate_length_k,top_k,top_p,temperature,n,prompt_chars_mean,prompt_chars_std,generated_tokens_mean,generated_tokens_std,acceptance_rate_mean,acceptance_rate_std,avg_accepted_prefix_length_mean,avg_accepted_prefix_length_std,total_generation_time_mean,total_generation_time_std,tokens_per_s_mean,tokens_per_s_std,proposed_tokens_mean,proposed_tokens_std,accepted_tokens_mean,accepted_tokens_std,rejection_events_mean,rejection_events_std,verify_rounds_mean,verify_rounds_std,draft_time_mean,draft_time_std,verify_time_mean,verify_time_std,rebuild_time_mean,rebuild_time_std,draft_time_ratio_mean,draft_time_ratio_std,verify_time_ratio_mean,verify_time_ratio_std,rebuild_time_ratio_mean,rebuild_time_ratio_std,target_token_time_mean,target_token_time_std,draft_token_time_mean,draft_token_time_std,draft_target_latency_ratio_mean,draft_target_latency_ratio_std
explain_sd_simple,baseline,hf,,EleutherAI/pythia-1.4b,greedy,,,,1.0,3,45.0,0.0,128.0,0.0,,,,,3.45583176612854,0.07287044038701242,37.05554835114031,0.7923917926800245,,,,,,,,,0.0,0.0,3.45583176612854,0.07287044038701242,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.02699868567287922,0.0005693003155235345,,,,
explain_sd_simple,baseline,manual,,EleutherAI/pythia-1.4b,greedy,,,,1.0,3,45.0,0.0,128.0,0.0,,,,,3.5165249506632485,0.003287684868632677,36.399602934469804,0.03404015987881418,,,,,,,,,0.0,0.0,3.5165249506632485,0.003287684868632677,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.02747285117705663,2.568503803619279e-05,,,,
explain_sd_simple,speculative,manual,EleutherAI/pythia-70m,EleutherAI/pythia-1.4b,greedy,1,,,1.0,3,45.0,0.0,128.0,0.0,0.7432432432432432,0.0,0.7432432432432432,0.0,5.33251158396403,0.07765666121341322,24.008755623439868,0.34727581022155296,74.0,0.0,55.0,0.0,19.0,0.0,74.0,0.0,0.577912171681722,0.010871337513407367,2.0802802244822183,0.05413342594551231,2.6139581203460693,0.01598434034732718,0.1083748220538945,0.0012515334144038892,0.3900480388156999,0.00444108119223402,0.49025904391029856,0.004820073683805538,0.02747285117705663,0.0,0.007809623941644892,0.0001469099663973969,0.2842669620023616,0.005347459768576387
explain_sd_simple,speculative,manual,EleutherAI/pythia-70m,EleutherAI/pythia-1.4b,greedy,2,,,1.0,3,45.0,0.0,128.0,0.0,0.631578947368421,0.0,1.263157894736842,0.0,4.863633155822754,0.06506046958470361,26.32249024390059,0.3525536127535866,114.0,0.0,72.0,0.0,29.0,0.0,57.0,0.0,0.9227977593739828,0.021355429712225107,1.8338917096455891,0.01872713889940936,2.0420405069986978,0.03979819154487936,0.18971808349119096,0.0026309258932083117,0.377107691418494,0.0048828497287875874,0.419824702328118,0.0025790480575228897,0.02747285117705663,0.0,0.008094717187491076,0.0001873283308089924,0.29464423387737815,0.006818670898105989
explain_sd_simple,speculative,manual,EleutherAI/pythia-70m,EleutherAI/pythia-1.4b,greedy,4,,,1.0,3,45.0,0.0,128.0,0.0,0.44324324324324327,0.0,1.7446808510638299,0.0,4.622902790705363,0.0566510162112198,27.69235427023364,0.3364786347799933,185.0,0.0,82.0,0.0,35.0,0.0,47.0,0.0,1.4700971444447835,0.026204215855677983,1.477455457051595,0.017124866417926456,1.6018467744191487,0.020308730996230973,0.31798683082082946,0.002577332116520649,0.3195982968636901,0.0008286487503280626,0.34652291785437167,0.003973979749631613,0.02747285117705663,0.0,0.007946471051052884,0.00014164441003069217,0.2892481380923874,0.005155795775175443
explain_sd_simple,speculative,manual,EleutherAI/pythia-70m,EleutherAI/pythia-1.4b,greedy,6,,,1.0,3,45.0,0.0,128.0,0.0,0.34523809523809523,0.0,2.0714285714285716,0.0,4.739459117253621,0.05895559023912695,27.011482880138825,0.33617798043299085,252.0,0.0,87.0,0.0,37.0,0.0,42.0,0.0,1.9391589959462483,0.03591499120669745,1.308424472808838,0.006852560276049861,1.410268227259318,0.023654625894522385,0.4091220086174699,0.0026901034030112105,0.27609517800539174,0.0019909139803968743,0.2975430649896082,0.0013244451570912886,0.02747285117705663,0.0,0.007695075380739081,0.00014251980637578385,0.2800974435141796,0.005187659826687612
explain_sd_simple,speculative,manual,EleutherAI/pythia-70m,EleutherAI/pythia-1.4b,greedy,8,,,1.0,3,45.0,0.0,128.0,0.0,0.26993865030674846,0.0,2.1463414634146343,0.0,5.395935297012329,0.014678017701389918,23.721734734975104,0.06443401149520848,326.0,0.0,88.0,0.0,37.0,0.0,41.0,0.0,2.5964856147766113,0.032491782287940224,1.298051357269287,0.0033709483615154477,1.402845859527588,0.025811481555727826,0.4811812103173532,0.004829080558590431,0.2405617278984355,0.0005779710125404141,0.259991509750088,0.005236588394715195,0.02747285117705663,0.0,0.007964679799928256,9.96680438280372e-05,0.28991092874189156,0.0036278740486634818
explain_sd_simple,baseline,hf,,EleutherAI/pythia-1.4b,top_k,,50,,1.0,3,45.0,0.0,128.0,0.0,,,,,3.816801150639852,0.04858101426896307,33.5414121036694,0.43022044020477207,,,,,,,,,0.0,0.0,3.816801150639852,0.04858101426896307,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.029818758989373844,0.000379539173976274,,,,
explain_sd_simple,baseline,manual,,EleutherAI/pythia-1.4b,top_k,,50,,1.0,3,45.0,0.0,128.0,0.0,,,,,3.9150856335957847,0.10663154130869955,32.71788503709918,0.8751962282358364,,,,,,,,,0.0,0.0,3.9150856335957847,0.10663154130869955,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.030586606512467068,0.0008330589164742152,,,,
explain_sd_simple,speculative,manual,EleutherAI/pythia-70m,EleutherAI/pythia-1.4b,top_k,1,50,,1.0,3,45.0,0.0,128.0,0.0,0.5161571044781039,0.02784554386660917,0.5161571044781039,0.02784554386660917,7.146547079086304,0.06801854446129156,17.912377052589964,0.17121892248322784,84.66666666666667,1.247219128924647,43.666666666666664,1.699673171197595,41.0,2.943920288775949,84.66666666666667,1.247219128924647,0.7254385153452555,0.014667431526602014,2.4829967816670737,0.042928764668479925,3.2209907372792563,0.014120835364734892,0.10149860153205237,0.0010923205641368721,0.34741559042884296,0.002854755153199448,0.45075670180164834,0.00558884967963224,0.030586606512467068,0.0,0.008567475254301382,4.730540156470031e-05,0.28010545239169593,0.001546605098065335
explain_sd_simple,speculative,manual,EleutherAI/pythia-70m,EleutherAI/pythia-1.4b,top_k,2,50,,1.0,3,45.0,0.0,128.0,0.0,0.4748395427442938,0.008593451444293626,0.9448213478064225,0.01375196363230284,6.55930479367574,0.02611279359018988,19.514571661533857,0.07748873505331899,132.0,1.4142135623730951,62.666666666666664,0.4714045207910317,43.0,1.4142135623730951,66.33333333333333,0.4714045207910317,1.0918585459391277,0.01025108736690152,2.190547545750936,0.013301245992455656,2.499551693598429,0.03449235739407396,0.1664644253801668,0.0019096573038517148,0.33395798227655693,0.0008797893598047663,0.3810617113746926,0.00439643180104709,0.030586606512467068,0.0,0.008273008274373769,0.00014336032542171798,0.27047813463718834,0.004687029447457176
explain_sd_simple,speculative,manual,EleutherAI/pythia-70m,EleutherAI/pythia-1.4b,top_k,4,50,,1.0,3,45.0,0.0,128.0,0.0,0.30995886936191036,0.021519956152077198,1.2272984078068823,0.08486316594187539,6.795102993647258,0.2803452205325499,18.869735954781547,0.7914004078555399,229.66666666666666,8.73053390247253,71.0,2.160246899469287,51.333333333333336,1.247219128924647,58.0,2.160246899469287,1.8773106733957927,0.06763431760565139,1.9012635548909504,0.1124496146412608,2.086625258127848,0.11047084283195628,0.2763830823973401,0.005160352450964339,0.2795886845636418,0.00514169500937507,0.3069400048011714,0.004901194971771783,0.030586606512467068,0.0,0.00817602577152339,0.00014147098331369947,0.267307383975102,0.0046252592047449125
