prompt_id,prompt_chars,mode,baseline_impl,draft_model,target_model,strategy,candidate_length_k,top_k,top_p,temperature,generated_tokens,acceptance_rate,avg_accepted_prefix_length,total_generation_time,tokens_per_s,proposed_tokens,accepted_tokens,rejection_events,verify_rounds,draft_time,verify_time,rebuild_time,draft_time_ratio,verify_time_ratio,rebuild_time_ratio,target_token_time,draft_token_time,draft_target_latency_ratio
explain_sd_simple,45,baseline,hf,,EleutherAI/pythia-1.4b,greedy,,,,1.0,128,,,3.353579521179199,38.16817200595026,,,,,0.0,3.353579521179199,0.0,0.0,1.0,0.0,0.026199840009212494,,
explain_sd_simple,45,baseline,hf,,EleutherAI/pythia-1.4b,greedy,,,,1.0,128,,,3.4958443641662598,36.61490234292147,,,,,0.0,3.4958443641662598,0.0,0.0,1.0,0.0,0.027311284095048904,,
explain_sd_simple,45,baseline,hf,,EleutherAI/pythia-1.4b,greedy,,,,1.0,128,,,3.518071413040161,36.38357070454919,,,,,0.0,3.518071413040161,0.0,0.0,1.0,0.0,0.02748493291437626,,
explain_sd_simple,45,baseline,manual,,EleutherAI/pythia-1.4b,greedy,,,,1.0,128,,,3.5122108459472656,36.444281284450504,,,,,0.0,3.5122108459472656,0.0,0.0,1.0,0.0,0.027439147233963013,,
explain_sd_simple,45,baseline,manual,,EleutherAI/pythia-1.4b,greedy,,,,1.0,128,,,3.520183563232422,36.36174014813691,,,,,0.0,3.520183563232422,0.0,0.0,1.0,0.0,0.027501434087753296,,
explain_sd_simple,45,baseline,manual,,EleutherAI/pythia-1.4b,greedy,,,,1.0,128,,,3.5171804428100586,36.39278737082199,,,,,0.0,3.5171804428100586,0.0,0.0,1.0,0.0,0.027477972209453583,,
explain_sd_simple,45,speculative,manual,EleutherAI/pythia-70m,EleutherAI/pythia-1.4b,greedy,1,,,1.0,128,0.7432432432432432,0.7432432432432432,5.305962324142456,24.123804916139736,74,55,19,74,0.5658714771270752,2.06009578704834,2.6209912300109863,0.10664822751422962,0.38826053808840233,0.49397094624764193,0.02747285117705663,0.007646911853068584,0.27834431176385294
explain_sd_simple,45,speculative,manual,EleutherAI/pythia-70m,EleutherAI/pythia-1.4b,greedy,1,,,1.0,128,0.7432432432432432,0.7432432432432432,5.438074827194214,23.537741584560333,74,55,19,74,0.5922117233276367,2.1543262004852295,2.629046678543091,0.10890098833619573,0.39615604215522693,0.48345172916635887,0.02747285117705663,0.008002861126049145,0.2913007126370839
explain_sd_simple,45,speculative,manual,EleutherAI/pythia-70m,EleutherAI/pythia-1.4b,greedy,1,,,1.0,128,0.7432432432432432,0.7432432432432432,5.25349760055542,24.364720369619537,74,55,19,74,0.5756533145904541,2.026418685913086,2.591836452484131,0.10957525031125813,0.38572753620347044,0.49335445631689484,0.02747285117705663,0.007779098845816948,0.28315586160614803
explain_sd_simple,45,speculative,manual,EleutherAI/pythia-70m,EleutherAI/pythia-1.4b,greedy,2,,,1.0,128,0.631578947368421,1.263157894736842,4.941442966461182,25.903364840749603,114,72,29,57,0.935903787612915,1.8563523292541504,2.0888922214508057,0.18939888489356851,0.3756700910753562,0.4227291978534698,0.02747285117705663,0.008209682347481711,0.29882891639357234
explain_sd_simple,45,speculative,manual,EleutherAI/pythia-70m,EleutherAI/pythia-1.4b,greedy,2,,,1.0,128,0.631578947368421,1.263157894736842,4.867254972457886,26.298190812749233,114,72,29,57,0.9398086071014404,1.8105082511901855,2.0456244945526123,0.19308801622670121,0.3719772770145033,0.420282994445143,0.02747285117705663,0.008243935150012635,0.3000757037149964
explain_sd_simple,45,speculative,manual,EleutherAI/pythia-70m,EleutherAI/pythia-1.4b,greedy,2,,,1.0,128,0.631578947368421,1.263157894736842,4.782201528549194,26.765915078202934,114,72,29,57,0.8926808834075928,1.8348145484924316,1.9916048049926758,0.18666734935330315,0.3836757061656225,0.41646191468574123,0.02747285117705663,0.007830534064978883,0.2850280815235656
explain_sd_simple,45,speculative,manual,EleutherAI/pythia-70m,EleutherAI/pythia-1.4b,greedy,4,,,1.0,128,0.44324324324324327,1.7446808510638299,4.586707830429077,27.906726290875575,185,82,35,47,1.4674367904663086,1.471245527267456,1.5734634399414062,0.31993247547425163,0.32076286121974856,0.34304854333706536,0.02747285117705663,0.007932090759277343,0.28872470163932823
