prompt_id,prompt_chars,mode,baseline_impl,draft_model,target_model,strategy,candidate_length_k,top_k,top_p,temperature,generated_tokens,acceptance_rate,top1_match_rate,avg_accepted_prefix_length,total_generation_time,tokens_per_s,proposed_tokens,accepted_tokens,accepted_tokens_per_draft_second,rejection_events,verify_rounds,draft_time,verify_time,rebuild_time,draft_time_ratio,verify_time_ratio,rebuild_time_ratio,target_decode_step_time,draft_decode_step_time,draft_target_latency_ratio
prompt_1,45,baseline,hf,,EleutherAI/pythia-1.4b,greedy,,,,1.0,32,,,,0.7773036956787109,41.167950413588166,,,,,,0.0,0.7773036956787109,0.0,0.0,1.0,0.0,,,
prompt_1,45,baseline,manual,,EleutherAI/pythia-1.4b,greedy,,,,1.0,32,,,,0.8686516284942627,36.838703745331614,,,,,,0.0,0.8686516284942627,0.0,0.0,1.0,0.0,,,
prompt_1,45,speculative,manual,EleutherAI/pythia-14m,EleutherAI/pythia-1.4b,greedy,4,,,1.0,32,0.3157894736842105,0.3157894736842105,1.2,1.3988120555877686,22.876554339213126,57,18,40.20138212187337,13,15,0.44774580001831055,0.4559662342071533,0.47269272804260254,0.32009003513354173,0.32596676042769757,0.33792440246304656,0.03757045418024063,0.0085691437125206,0.22808198355577386
