prompt_id,mode,baseline_impl,draft_model,target_model,strategy,candidate_length_k,top_k,top_p,temperature,n,prompt_chars_mean,generated_tokens_mean,acceptance_rate_mean,top1_match_rate_mean,avg_accepted_prefix_length_mean,total_generation_time_mean,tokens_per_s_mean,proposed_tokens_mean,accepted_tokens_mean,accepted_tokens_per_draft_second_mean,rejection_events_mean,verify_rounds_mean,draft_time_mean,verify_time_mean,rebuild_time_mean,draft_time_ratio_mean,verify_time_ratio_mean,rebuild_time_ratio_mean,target_decode_step_time_mean,draft_decode_step_time_mean,draft_target_latency_ratio_mean,prompt_chars_std,generated_tokens_std,acceptance_rate_std,top1_match_rate_std,avg_accepted_prefix_length_std,total_generation_time_std,tokens_per_s_std,proposed_tokens_std,accepted_tokens_std,accepted_tokens_per_draft_second_std,rejection_events_std,verify_rounds_std,draft_time_std,verify_time_std,rebuild_time_std,draft_time_ratio_std,verify_time_ratio_std,rebuild_time_ratio_std,target_decode_step_time_std,draft_decode_step_time_std,draft_target_latency_ratio_std
explain_sd_simple,baseline,hf,,EleutherAI/pythia-1.4b,greedy,,,,1.0,3,45.0,128.0,,,,3.2947041988372803,38.882594368177,,,,,,0.0,3.2947041988372803,0.0,0.0,1.0,0.0,,,,0.0,0.0,,,,0.09434633531094085,1.1304817550794128,,,,,,0.0,0.09434633531094085,0.0,0.0,0.0,0.0,,,
explain_sd_simple,baseline,manual,,EleutherAI/pythia-1.4b,greedy,,,,1.0,3,45.0,128.0,,,,3.365681250890096,38.03508950140178,,,,,,0.0,3.365681250890096,0.0,0.0,1.0,0.0,,,,0.0,0.0,,,,0.035188901705365254,0.3975114649965053,,,,,,0.0,0.035188901705365254,0.0,0.0,0.0,0.0,,,
explain_sd_simple,speculative,manual,EleutherAI/pythia-70m,EleutherAI/pythia-1.4b,greedy,1,,,1.0,3,45.0,128.0,0.7432432432432432,0.7432432432432432,0.7432432432432432,5.043375889460246,25.385819634107538,74.0,55.0,99.2413563097314,19.0,74.0,0.5546973546346029,1.9395842552185059,2.4905194441477456,0.10996893242472872,0.3846075357528669,0.4938001377615026,0.031685251742601395,0.009004471823573112,0.28418495446152436,0.0,0.0,0.0,0.0,0.0,0.07733363347381654,0.3909318892789546,0.0,0.0,2.928151120778118,0.0,0.0,0.01670622823675556,0.02502839439202515,0.04882302848269514,0.002093382232200233,0.003218462384756247,0.004198325792439322,0.0,0.0,0.0
explain_sd_simple,speculative,manual,EleutherAI/pythia-70m,EleutherAI/pythia-1.4b,greedy,2,,,1.0,3,45.0,128.0,0.631578947368421,0.631578947368421,1.263157894736842,4.522840181986491,28.319138792791215,114.0,72.0,82.69337456232577,29.0,57.0,0.8710371653238932,1.7023286024729412,1.8957626819610596,0.19262835716902255,0.37652479841518055,0.4190115150367223,0.031685251742601395,0.009004471823573112,0.28418495446152436,0.0,0.0,0.0,0.0,0.0,0.11514364201093373,0.720424142856759,0.0,0.0,1.6711023412020753,0.0,0.0,0.017355367515724456,0.02047024842708267,0.07417734366912881,0.0026475546542833795,0.005824943429866867,0.005895006149255688,0.0,0.0,0.0
explain_sd_simple,speculative,manual,EleutherAI/pythia-70m,EleutherAI/pythia-1.4b,greedy,4,,,1.0,3,45.0,128.0,0.44324324324324327,0.44324324324324327,1.7446808510638299,4.237335046132405,30.210735854728263,185.0,82.0,61.59691737153517,35.0,47.0,1.3314655621846516,1.350632667541504,1.49322509765625,0.3142462871955637,0.3187530116823732,0.35236995653381914,0.031685251742601395,0.009004471823573112,0.28418495446152436,0.0,0.0,0.0,0.0,0.0,0.042579310021304155,0.3055443000498655,0.0,0.0,0.8092808805426035,0.0,0.0,0.017515325595586807,0.016619454824125256,0.036695421913592416,0.0046836443523734835,0.003092216990345144,0.00658200073235363,0.0,0.0,0.0
explain_sd_simple,speculative,manual,EleutherAI/pythia-70m,EleutherAI/pythia-1.4b,greedy,6,,,1.0,3,45.0,128.0,0.34523809523809523,0.34523809523809523,2.0714285714285716,4.694885969161987,27.2805608549302,252.0,87.0,44.59871756334809,37.0,42.0,1.954128662745158,1.2742335001627605,1.3867887655893962,0.4160516553358734,0.27157469556618524,0.29538648472397383,0.031685251742601395,0.009004471823573112,0.28418495446152436,0.0,0.0,0.0,0.0,0.0,0.11684314414121554,0.6772701358144727,0.0,0.0,1.8483888958694552,0.0,0.0,0.08206342915630178,0.005083368561870716,0.03664397629037358,0.007201819273791056,0.0067714884931337465,0.003139555198953178,0.0,0.0,0.0
explain_sd_simple,speculative,manual,EleutherAI/pythia-70m,EleutherAI/pythia-1.4b,greedy,8,,,1.0,3,45.0,128.0,0.26993865030674846,0.26993865030674846,2.1463414634146343,5.177938461303711,24.728547375839486,326.0,88.0,35.10650253960807,37.0,41.0,2.5087658564249673,1.236279805501302,1.341205358505249,0.48447043404724494,0.2387794007147071,0.2590366324758041,0.031685251742601395,0.009004471823573112,0.28418495446152436,0.0,0.0,0.0,0.0,0.0,0.0946931400791097,0.45304310100723083,0.0,0.0,1.0077073821863936,0.0,0.0,0.07343042573806309,0.030487921484691018,0.02416909194493724,0.008977844108823244,0.00504848263429529,0.0025620792138018,0.0,0.0,0.0
explain_sd_simple,baseline,hf,,EleutherAI/pythia-1.4b,top_k,,50,,1.0,3,45.0,128.0,,,,3.6475538412729898,35.11085295474455,,,,,,0.0,3.6475538412729898,0.0,0.0,1.0,0.0,,,,0.0,0.0,,,,0.0843527331155496,0.8148562853096858,,,,,,0.0,0.0843527331155496,0.0,0.0,0.0,0.0,,,
explain_sd_simple,baseline,manual,,EleutherAI/pythia-1.4b,top_k,,50,,1.0,3,45.0,128.0,,,,3.6313118934631348,35.25044449507544,,,,,,0.0,3.6313118934631348,0.0,0.0,1.0,0.0,,,,0.0,0.0,,,,0.023533530890713323,0.22769092221209034,,,,,,0.0,0.023533530890713323,0.0,0.0,0.0,0.0,,,
explain_sd_simple,speculative,manual,EleutherAI/pythia-70m,EleutherAI/pythia-1.4b,top_k,1,50,,1.0,3,45.0,128.0,0.5161571044781039,0.3576813409589109,0.5161571044781039,6.695078293482463,19.11929290416282,84.66666666666667,43.666666666666664,63.90645402008216,41.0,84.66666666666667,0.6833805243174235,2.3234976132710776,2.972467581431071,0.10208353252914676,0.3470377844361753,0.4439851448039728,0.031685251742601395,0.009004471823573112,0.28418495446152436,0.0,0.0,0.02784554386660917,0.060049239018170796,0.02784554386660917,0.04242661580207415,0.12169040247577333,1.247219128924647,1.699673171197595,2.3724385314759133,2.943920288775949,1.247219128924647,0.012995950573022936,0.028092306161989572,0.015541796520426684,0.0023826434217895038,0.002708944405154316,0.0019396543241764444,0.0,0.0,0.0
