prompt_id,prompt_chars,mode,baseline_impl,draft_model,target_model,strategy,candidate_length_k,top_k,top_p,temperature,generated_tokens,acceptance_rate,avg_accepted_prefix_length,total_generation_time,tokens_per_s,proposed_tokens,accepted_tokens,rejected_tokens,verify_rounds,draft_time,verify_time,rebuild_time,draft_time_ratio,verify_time_ratio,rebuild_time_ratio,output_exact_match,output_prefix_match_len,output_prefix_match_ratio
explain_sd_simple,45,baseline,hf,,Qwen/Qwen2.5-1.5B,greedy,,,,1.0,97,,,5.760531663894653,16.838723517130884,,,,,0.0,5.760531663894653,0.0,0.0,1.0,0.0,,,
explain_sd_simple,45,baseline,hf,,Qwen/Qwen2.5-1.5B,greedy,,,,1.0,97,,,5.8506059646606445,16.579479217350837,,,,,0.0,5.8506059646606445,0.0,0.0,1.0,0.0,,,
explain_sd_simple,45,baseline,hf,,Qwen/Qwen2.5-1.5B,greedy,,,,1.0,97,,,5.722707986831665,16.95001740840237,,,,,0.0,5.722707986831665,0.0,0.0,1.0,0.0,,,
explain_sd_simple,45,baseline,manual,,Qwen/Qwen2.5-1.5B,greedy,,,,1.0,128,,,7.385040283203125,17.3323360593075,,,,,0.0,7.385040283203125,0.0,0.0,1.0,0.0,,,
explain_sd_simple,45,baseline,manual,,Qwen/Qwen2.5-1.5B,greedy,,,,1.0,128,,,7.480548858642578,17.11104391118527,,,,,0.0,7.480548858642578,0.0,0.0,1.0,0.0,,,
explain_sd_simple,45,baseline,manual,,Qwen/Qwen2.5-1.5B,greedy,,,,1.0,128,,,7.465585470199585,17.145339841187038,,,,,0.0,7.465585470199585,0.0,0.0,1.0,0.0,,,
explain_sd_simple,45,speculative,manual,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-1.5B,greedy,1,,,1.0,128,0.7297297297297297,0.7297297297297297,15.858438730239868,8.071412462307626,74,54,20,74,3.7392184734344482,4.363842487335205,7.688143253326416,0.23578730145132581,0.2751747862173819,0.48479824427269635,1,128,1.0
explain_sd_simple,45,speculative,manual,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-1.5B,greedy,1,,,1.0,128,0.7297297297297297,0.7297297297297297,15.688711643218994,8.15873240014099,74,54,20,74,3.608405828475952,4.3055503368377686,7.706979990005493,0.23000013707534642,0.27443619557497073,0.4912436511851258,1,128,1.0
explain_sd_simple,45,speculative,manual,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-1.5B,greedy,1,,,1.0,128,0.7297297297297297,0.7297297297297297,15.737081527709961,8.133655517677576,74,54,20,74,3.6590864658355713,4.262859582901001,7.7405290603637695,0.23251366267580345,0.27087993255896453,0.4918656007935266,1,128,1.0
explain_sd_simple,45,speculative,manual,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-1.5B,greedy,2,,,1.0,128,0.6371681415929203,1.263157894736842,14.688560485839844,8.714264418449673,113,72,27,57,5.669140100479126,3.110321283340454,5.839793682098389,0.3859561395375895,0.21175126632312846,0.39757426792966555,0,15,0.1171875
explain_sd_simple,45,speculative,manual,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-1.5B,greedy,2,,,1.0,128,0.6371681415929203,1.263157894736842,14.440701961517334,8.863835036627998,113,72,27,57,5.509849786758423,3.0461385250091553,5.806438446044922,0.3815499967689579,0.21094116706561314,0.40208837918810003,0,15,0.1171875
explain_sd_simple,45,speculative,manual,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-1.5B,greedy,2,,,1.0,128,0.6371681415929203,1.263157894736842,15.3104887008667,8.3602817977165,113,72,27,57,5.779892921447754,3.234550714492798,6.214293003082275,0.3775119811244539,0.21126371454816434,0.40588469280738865,0,15,0.1171875
explain_sd_simple,45,speculative,manual,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-1.5B,greedy,4,,,1.0,128,0.4666666666666667,1.8666666666666667,16.391774892807007,7.808794400670339,180,84,31,45,8.97227430343628,2.5106637477874756,4.820100784301758,0.5473644167339967,0.1531660704350691,0.29405606261814277,0,15,0.1171875
explain_sd_simple,45,speculative,manual,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-1.5B,greedy,4,,,1.0,128,0.4666666666666667,1.8666666666666667,15.961320400238037,8.019386666662683,180,84,31,45,8.642632246017456,2.4289538860321045,4.823878765106201,0.5414735140514167,0.15217750318425288,0.3022230394569525,0,15,0.1171875
explain_sd_simple,45,speculative,manual,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-1.5B,greedy,4,,,1.0,128,0.4666666666666667,1.8666666666666667,16.079676866531372,7.960358971293901,180,84,31,45,8.878192663192749,2.463848352432251,4.650051593780518,0.5521375048072038,0.15322747918899815,0.289188124386955,0,15,0.1171875
explain_sd_simple,45,speculative,manual,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-1.5B,greedy,6,,,1.0,128,0.4897959183673469,2.909090909090909,15.284671306610107,8.374403180305507,196,96,27,33,9.911312341690063,1.8153789043426514,3.483741044998169,0.6484478562128944,0.11877120992177051,0.22792384442651167,0,15,0.1171875
explain_sd_simple,45,speculative,manual,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-1.5B,greedy,6,,,1.0,128,0.4897959183673469,2.909090909090909,14.998358726501465,8.534267137765509,196,96,27,33,9.634546279907227,1.8694686889648438,3.4045825004577637,0.6423733726866655,0.12464488435401747,0.22699700430834546,0,15,0.1171875
explain_sd_simple,45,speculative,manual,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-1.5B,greedy,6,,,1.0,128,0.4897959183673469,2.909090909090909,15.077597856521606,8.489415967851627,196,96,27,33,9.829796075820923,1.8211791515350342,3.343177556991577,0.6519470919281204,0.12078708882312499,0.22173144481005852,0,15,0.1171875
explain_sd_simple,45,speculative,manual,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-1.5B,greedy,8,,,1.0,128,0.3053691275167785,2.3947368421052633,21.059510946273804,6.078013887717932,298,91,36,38,14.806105136871338,2.1094675064086914,4.044499158859253,0.7030602550384047,0.10016697499720112,0.1920509535657034,0,15,0.1171875
explain_sd_simple,45,speculative,manual,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-1.5B,greedy,8,,,1.0,128,0.3053691275167785,2.3947368421052633,21.06768274307251,6.075656329222493,298,91,36,38,14.640225410461426,2.2718756198883057,4.039299726486206,0.6949138920024527,0.1078369960092239,0.19172966366291097,0,15,0.1171875
explain_sd_simple,45,speculative,manual,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-1.5B,greedy,8,,,1.0,128,0.3053691275167785,2.3947368421052633,21.43203067779541,5.972369204035062,298,91,36,38,15.18256402015686,2.1621286869049072,3.971212863922119,0.7084052952521531,0.10088305300649714,0.18529335477465894,0,15,0.1171875
explain_sd_simple,45,baseline,hf,,Qwen/Qwen2.5-1.5B,top_k,,50,,1.0,128,,,7.838472127914429,16.329712973548173,,,,,0.0,7.838472127914429,0.0,0.0,1.0,0.0,,,
explain_sd_simple,45,baseline,hf,,Qwen/Qwen2.5-1.5B,top_k,,50,,1.0,104,,,6.64996337890625,15.639183868273475,,,,,0.0,6.64996337890625,0.0,0.0,1.0,0.0,,,
explain_sd_simple,45,baseline,hf,,Qwen/Qwen2.5-1.5B,top_k,,50,,1.0,84,,,5.519256353378296,15.219441646080494,,,,,0.0,5.519256353378296,0.0,0.0,1.0,0.0,,,
explain_sd_simple,45,baseline,manual,,Qwen/Qwen2.5-1.5B,top_k,,50,,1.0,128,,,8.104450702667236,15.793790929948432,,,,,0.0,8.104450702667236,0.0,0.0,1.0,0.0,,,
explain_sd_simple,45,baseline,manual,,Qwen/Qwen2.5-1.5B,top_k,,50,,1.0,128,,,8.15343189239502,15.69891080090948,,,,,0.0,8.15343189239502,0.0,0.0,1.0,0.0,,,
explain_sd_simple,45,baseline,manual,,Qwen/Qwen2.5-1.5B,top_k,,50,,1.0,128,,,7.999375820159912,16.001248457087893,,,,,0.0,7.999375820159912,0.0,0.0,1.0,0.0,,,
explain_sd_simple,45,speculative,manual,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-1.5B,top_k,1,50,,1.0,128,0.7066666666666667,0.7066666666666667,17.43248224258423,7.342614678666956,75,53,22,75,4.016149997711182,4.532809257507324,8.320152044296265,0.2303831400384561,0.26002087335758395,0.4772786760093018,0,0,0.0
explain_sd_simple,45,speculative,manual,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-1.5B,top_k,1,50,,1.0,128,0.72,0.72,17.562556266784668,7.288232877697939,75,54,21,75,3.9596469402313232,4.663876533508301,8.390008926391602,0.2254596016708592,0.26555795538311794,0.47772139766801924,0,3,0.0234375
explain_sd_simple,45,speculative,manual,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-1.5B,top_k,1,50,,1.0,128,0.7534246575342466,0.7534246575342466,17.41284441947937,7.350895518069936,73,55,18,73,3.911477565765381,4.637768745422363,8.389465093612671,0.22463174146262377,0.2663418240982037,0.48179751059094966,0,0,0.0
explain_sd_simple,45,speculative,manual,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-1.5B,top_k,2,50,,1.0,128,0.8723404255319149,1.7446808510638299,13.528378009796143,9.461592506308804,94,82,9,47,5.259981393814087,2.760312795639038,5.15856146812439,0.3888109417112118,0.2040387098616143,0.38131411351671146,0,0,0.0
explain_sd_simple,45,speculative,manual,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-1.5B,top_k,2,50,,1.0,128,0.575,1.15,17.050798416137695,7.5069798420028615,120,69,32,60,6.289699077606201,3.493950366973877,6.555285692214966,0.3688800327176074,0.2049141794830578,0.38445623085959,0,3,0.0234375
explain_sd_simple,45,speculative,manual,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-1.5B,top_k,2,50,,1.0,128,0.5158730158730159,1.0317460317460319,18.314537525177002,6.988983468681005,126,65,37,63,6.765239953994751,3.618243455886841,7.1211183071136475,0.36939179843851216,0.1975612788973153,0.3888232666167105,0,0,0.0
explain_sd_simple,45,speculative,manual,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-1.5B,top_k,4,50,,1.0,128,0.47191011235955055,1.8666666666666667,17.926126956939697,7.140415791289913,178,84,31,45,9.474274396896362,2.590578317642212,5.104462146759033,0.5285176446454102,0.1445141119364508,0.284749860302811,0,0,0.0
explain_sd_simple,45,speculative,manual,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-1.5B,top_k,4,50,,1.0,128,0.49707602339181284,1.9318181818181819,17.345011472702026,7.379643432432968,171,85,32,44,9.098762273788452,2.616689682006836,4.888836622238159,0.5245751660705611,0.1508612252073192,0.28185836774638756,0,3,0.0234375
explain_sd_simple,45,speculative,manual,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-1.5B,top_k,4,50,,1.0,128,0.5432098765432098,2.1463414634146343,16.226295232772827,7.888430363418622,162,88,26,41,8.570876598358154,2.378948211669922,4.633452653884888,0.5282090874968951,0.14661068207763625,0.2855520984560011,0,0,0.0
explain_sd_simple,45,speculative,manual,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-1.5B,top_k,6,50,,1.0,128,0.5132275132275133,3.03125,15.849642515182495,8.075891924842331,189,97,22,32,9.735881805419922,1.9160408973693848,3.5567426681518555,0.6142650722938291,0.12088858758385208,0.2244052296286698,0,0,0.0
