prompt_id,prompt_chars,mode,baseline_impl,draft_model,target_model,strategy,candidate_length_k,top_k,top_p,temperature,generated_tokens,acceptance_rate,avg_accepted_prefix_length,total_generation_time,tokens_per_s,proposed_tokens,accepted_tokens,rejected_tokens,verify_rounds,draft_time,verify_time,rebuild_time,draft_time_ratio,verify_time_ratio,rebuild_time_ratio,output_exact_match,output_prefix_match_len,output_prefix_match_ratio
explain_sd_simple,45,baseline,hf,,gpt2,greedy,,,,1.0,128,,,1.6418538093566895,77.96065597956795,,,,,0.0,1.6418538093566895,0.0,0.0,1.0,0.0,,,
explain_sd_simple,45,baseline,hf,,gpt2,greedy,,,,1.0,128,,,1.657473087310791,77.22598996022121,,,,,0.0,1.657473087310791,0.0,0.0,1.0,0.0,,,
explain_sd_simple,45,baseline,hf,,gpt2,greedy,,,,1.0,128,,,1.7054636478424072,75.052904330112,,,,,0.0,1.7054636478424072,0.0,0.0,1.0,0.0,,,
explain_sd_simple,45,baseline,manual,,gpt2,greedy,,,,1.0,128,,,1.7569966316223145,72.85159100265993,,,,,0.0,1.7569966316223145,0.0,0.0,1.0,0.0,,,
explain_sd_simple,45,baseline,manual,,gpt2,greedy,,,,1.0,128,,,1.704256534576416,75.10606378975318,,,,,0.0,1.704256534576416,0.0,0.0,1.0,0.0,,,
explain_sd_simple,45,baseline,manual,,gpt2,greedy,,,,1.0,128,,,1.6872849464416504,75.86151957909766,,,,,0.0,1.6872849464416504,0.0,0.0,1.0,0.0,,,
explain_sd_simple,45,speculative,manual,distilgpt2,gpt2,greedy,1,,,1.0,128,0.8695652173913043,0.8695652173913043,2.700228214263916,47.40340069177926,69,60,9,69,0.465787410736084,0.8724648952484131,1.3086152076721191,0.1724992755336637,0.32310783608571675,0.48463133625497967,1,128,1.0
explain_sd_simple,45,speculative,manual,distilgpt2,gpt2,greedy,1,,,1.0,128,0.8695652173913043,0.8695652173913043,2.734037399291992,46.817208876933044,69,60,9,69,0.48777103424072266,0.8858416080474854,1.3022105693817139,0.17840686245441856,0.3240049343424795,0.47629581428510637,1,128,1.0
explain_sd_simple,45,speculative,manual,distilgpt2,gpt2,greedy,1,,,1.0,128,0.8695652173913043,0.8695652173913043,2.6016733646392822,49.19910459926125,69,60,9,69,0.45723772048950195,0.8427836894989014,1.2481591701507568,0.17574755028977176,0.32393908511099817,0.47975244975604847,1,128,1.0
explain_sd_simple,45,speculative,manual,distilgpt2,gpt2,greedy,2,,,1.0,128,0.8617021276595744,1.7234042553191489,2.1025819778442383,60.87753122056028,94,81,8,47,0.5982246398925781,0.6290247440338135,0.8323049545288086,0.2845190561872567,0.29916776166737047,0.39584899104964494,1,128,1.0
explain_sd_simple,45,speculative,manual,distilgpt2,gpt2,greedy,2,,,1.0,128,0.8617021276595744,1.7234042553191489,2.0977652072906494,61.01731478582262,94,81,8,47,0.6193552017211914,0.6076171398162842,0.8362770080566406,0.29524524459108287,0.2896497366361829,0.39865138631826535,1,128,1.0
explain_sd_simple,45,speculative,manual,distilgpt2,gpt2,greedy,2,,,1.0,128,0.8617021276595744,1.7234042553191489,2.1680612564086914,59.03892227290062,94,81,8,47,0.6022741794586182,0.6725456714630127,0.8451178073883057,0.2777938942815028,0.31020602830062943,0.3898034729831436,1,128,1.0
explain_sd_simple,45,speculative,manual,distilgpt2,gpt2,greedy,4,,,1.0,128,0.7578125,3.03125,2.008481979370117,63.72972290253869,128,97,10,32,0.8722867965698242,0.46831846237182617,0.6193125247955322,0.4343015299760784,0.23317035810233966,0.3083485593382101,1,128,1.0
explain_sd_simple,45,speculative,manual,distilgpt2,gpt2,greedy,4,,,1.0,128,0.7578125,3.03125,1.9635374546051025,65.18846875051985,128,97,10,32,0.871100902557373,0.45230937004089355,0.5922129154205322,0.44363854660086677,0.2303543377693602,0.3016051025823876,1,128,1.0
explain_sd_simple,45,speculative,manual,distilgpt2,gpt2,greedy,4,,,1.0,128,0.7578125,3.03125,1.9261236190795898,66.45471699327668,128,97,10,32,0.8527004718780518,0.4350264072418213,0.5866236686706543,0.44270287920851104,0.22585591232700908,0.30456179596145344,1,128,1.0
explain_sd_simple,45,speculative,manual,distilgpt2,gpt2,greedy,6,,,1.0,128,0.6821192052980133,3.9615384615384617,1.8790886402130127,68.11812772466655,151,103,10,26,0.9827735424041748,0.3806490898132324,0.46770524978637695,0.5230054194211764,0.20257111967324873,0.2489000464253555,1,128,1.0
explain_sd_simple,45,speculative,manual,distilgpt2,gpt2,greedy,6,,,1.0,128,0.6821192052980133,3.9615384615384617,1.8896501064300537,67.73740787484668,151,103,10,26,1.003417730331421,0.3715331554412842,0.4601435661315918,0.5310071567836905,0.19661478819652406,0.24350728453157908,1,128,1.0
explain_sd_simple,45,speculative,manual,distilgpt2,gpt2,greedy,6,,,1.0,128,0.6821192052980133,3.9615384615384617,1.8573203086853027,68.91649189503792,151,103,10,26,0.9643745422363281,0.3639090061187744,0.46833205223083496,0.519228986904772,0.19593228180246736,0.25215470376369387,1,128,1.0
explain_sd_simple,45,speculative,manual,distilgpt2,gpt2,greedy,8,,,1.0,128,0.6022727272727273,4.818181818181818,1.9140338897705078,66.87446898620335,176,106,11,22,1.1805298328399658,0.31424784660339355,0.369157075881958,0.6167758257308135,0.16418092087234243,0.19286862048519937,1,128,1.0
explain_sd_simple,45,speculative,manual,distilgpt2,gpt2,greedy,8,,,1.0,128,0.6022727272727273,4.818181818181818,2.0524141788482666,62.36557967643184,176,106,11,22,1.238729476928711,0.33606791496276855,0.41280531883239746,0.6035475147729864,0.1637427369320536,0.20113158595700573,1,128,1.0
explain_sd_simple,45,speculative,manual,distilgpt2,gpt2,greedy,8,,,1.0,128,0.6022727272727273,4.818181818181818,1.9237275123596191,66.53748993951689,176,106,11,22,1.1561594009399414,0.32581305503845215,0.39191317558288574,0.6009995664728064,0.16936549118581462,0.2037259295117998,1,128,1.0
explain_sd_simple,45,baseline,hf,,gpt2,top_k,,50,,1.0,128,,,1.9263513088226318,66.44686221758398,,,,,0.0,1.9263513088226318,0.0,0.0,1.0,0.0,,,
explain_sd_simple,45,baseline,hf,,gpt2,top_k,,50,,1.0,128,,,1.953780174255371,65.51402337204267,,,,,0.0,1.953780174255371,0.0,0.0,1.0,0.0,,,
explain_sd_simple,45,baseline,hf,,gpt2,top_k,,50,,1.0,128,,,1.9011549949645996,67.32749320230117,,,,,0.0,1.9011549949645996,0.0,0.0,1.0,0.0,,,
explain_sd_simple,45,baseline,manual,,gpt2,top_k,,50,,1.0,128,,,1.8619189262390137,68.74628008565003,,,,,0.0,1.8619189262390137,0.0,0.0,1.0,0.0,,,
explain_sd_simple,45,baseline,manual,,gpt2,top_k,,50,,1.0,128,,,1.9917783737182617,64.26417802752269,,,,,0.0,1.9917783737182617,0.0,0.0,1.0,0.0,,,
explain_sd_simple,45,baseline,manual,,gpt2,top_k,,50,,1.0,128,,,1.8508186340332031,69.1585861771174,,,,,0.0,1.8508186340332031,0.0,0.0,1.0,0.0,,,
explain_sd_simple,45,speculative,manual,distilgpt2,gpt2,top_k,1,50,,1.0,128,0.72,0.72,3.829592227935791,33.42392411032074,75,54,21,75,0.6082334518432617,1.0844132900238037,1.5766758918762207,0.1588245994981844,0.28316677742170976,0.41170855747377394,0,1,0.0078125
explain_sd_simple,45,speculative,manual,distilgpt2,gpt2,top_k,1,50,,1.0,128,0.6410256410256411,0.6410256410256411,3.913914442062378,32.70383190403936,78,50,28,78,0.5914194583892822,1.0745189189910889,1.590914249420166,0.15110689493703974,0.2745381726905832,0.40647650145920355,0,0,0.0
explain_sd_simple,45,speculative,manual,distilgpt2,gpt2,top_k,1,50,,1.0,128,0.72,0.72,3.5994644165039062,35.560846056181894,75,54,21,75,0.5595653057098389,0.9850051403045654,1.5195448398590088,0.15545793511506203,0.27365325124155077,0.42215859473196704,0,0,0.0
explain_sd_simple,45,speculative,manual,distilgpt2,gpt2,top_k,2,50,,1.0,128,0.52,1.0317460317460319,3.855768918991089,33.197010165612525,125,65,34,63,0.9083518981933594,0.9145174026489258,1.3148999214172363,0.2355825562365499,0.237181589940359,0.34102145357852426,0,1,0.0078125
explain_sd_simple,45,speculative,manual,distilgpt2,gpt2,top_k,2,50,,1.0,128,0.5158730158730159,1.0317460317460319,3.967862367630005,32.25918344452408,126,65,38,63,0.9524438381195068,0.9345142841339111,1.282151460647583,0.24003953511331075,0.2355208415890933,0.3231340560366788,0,0,0.0
explain_sd_simple,45,speculative,manual,distilgpt2,gpt2,top_k,2,50,,1.0,128,0.6788990825688074,1.3454545454545455,3.332624912261963,38.40816274554047,109,74,24,55,0.8309781551361084,0.8119821548461914,1.088886022567749,0.2493464392223174,0.24364642773286846,0.3267352466103622,0,0,0.0
explain_sd_simple,45,speculative,manual,distilgpt2,gpt2,top_k,4,50,,1.0,128,0.5365853658536586,2.1463414634146343,3.6601722240448,34.97103200749094,164,88,27,41,1.3457398414611816,0.6919212341308594,0.890702486038208,0.3676711802304279,0.18904062207385092,0.24334988397182755,0,1,0.0078125
explain_sd_simple,45,speculative,manual,distilgpt2,gpt2,top_k,4,50,,1.0,128,0.43783783783783786,1.7234042553191489,3.9427425861358643,32.46471135348657,185,81,34,47,1.395113468170166,0.769115686416626,0.9743974208831787,0.3538434066367657,0.19507124028870668,0.24713696103557942,0,0,0.0
explain_sd_simple,45,speculative,manual,distilgpt2,gpt2,top_k,4,50,,1.0,128,0.546583850931677,2.1463414634146343,3.4442389011383057,37.16350801266909,161,88,26,41,1.2579612731933594,0.6704773902893066,0.8533201217651367,0.36523635824960016,0.19466634270570396,0.24775288423898767,0,0,0.0
explain_sd_simple,45,speculative,manual,distilgpt2,gpt2,top_k,6,50,,1.0,128,0.423963133640553,2.4864864864864864,3.91715407371521,32.676784622515214,217,92,28,37,1.6959271430969238,0.6074550151824951,0.7844803333282471,0.4329487968004353,0.15507559921082112,0.20026792884973496,0,1,0.0078125
explain_sd_simple,45,speculative,manual,distilgpt2,gpt2,top_k,6,50,,1.0,128,0.35080645161290325,2.0714285714285716,4.191519737243652,30.53784975951776,248,87,36,42,1.8536958694458008,0.6393110752105713,0.8134915828704834,0.44224910907011333,0.15252488722168894,0.1940803417057118,0,0,0.0
explain_sd_simple,45,speculative,manual,distilgpt2,gpt2,top_k,6,50,,1.0,128,0.2949640287769784,1.7446808510638299,4.697767019271851,27.24698765922195,278,82,41,47,2.0534536838531494,0.7291173934936523,0.9604465961456299,0.4371127123650829,0.15520509861441892,0.20444747306657582,0,0,0.0
explain_sd_simple,45,speculative,manual,distilgpt2,gpt2,top_k,8,50,,1.0,128,0.37890625,3.03125,3.616615056991577,35.392210114414205,256,97,24,32,1.8055360317230225,0.5271315574645996,0.6148271560668945,0.49923367659286594,0.1457527409353556,0.17000071790286925,0,1,0.0078125
explain_sd_simple,45,speculative,manual,distilgpt2,gpt2,top_k,8,50,,1.0,128,0.4049586776859504,3.161290322580645,3.554173469543457,36.01399906247174,242,98,25,31,1.7915427684783936,0.4981861114501953,0.6304750442504883,0.5040673405028039,0.14016932930237325,0.1773900597855384,0,0,0.0
explain_sd_simple,45,speculative,manual,distilgpt2,gpt2,top_k,8,50,,1.0,128,0.32167832167832167,2.4864864864864864,4.150705814361572,30.83812867611961,286,92,32,37,1.999643325805664,0.5491337776184082,0.7374002933502197,0.4817598295901472,0.13229889136406345,0.17765660259486268,0,0,0.0
